Country,ISO3 Code,Datetime (UTC),Datetime (Local),Price (EUR/MWhe)
Germany,DEU,2022-08-17 21:00:00,2022-08-17 23:00:00,519.19
Germany,DEU,2022-08-17 22:00:00,2022-08-18 00:00:00,517.97
Germany,DEU,2022-08-17 23:00:00,2022-08-18 01:00:00,475.96
Germany,DEU,2022-08-18 00:00:00,2022-08-18 02:00:00,469.94
Germany,DEU,2022-08-18 01:00:00,2022-08-18 03:00:00,465.72
Germany,DEU,2022-08-18 02:00:00,2022-08-18 04:00:00,470.46
Germany,DEU,2022-08-18 03:00:00,2022-08-18 05:00:00,494.7
Germany,DEU,2022-08-18 04:00:00,2022-08-18 06:00:00,547.37
Germany,DEU,2022-08-18 05:00:00,2022-08-18 07:00:00,597.21
Germany,DEU,2022-08-18 06:00:00,2022-08-18 08:00:00,605.92
Germany,DEU,2022-08-18 07:00:00,2022-08-18 09:00:00,599.08
Germany,DEU,2022-08-18 08:00:00,2022-08-18 10:00:00,591.4
Germany,DEU,2022-08-18 09:00:00,2022-08-18 11:00:00,568.34
Germany,DEU,2022-08-18 10:00:00,2022-08-18 12:00:00,550.77
Germany,DEU,2022-08-18 11:00:00,2022-08-18 13:00:00,551.52
Germany,DEU,2022-08-18 12:00:00,2022-08-18 14:00:00,533.31
Germany,DEU,2022-08-18 13:00:00,2022-08-18 15:00:00,536.43
Germany,DEU,2022-08-18 14:00:00,2022-08-18 16:00:00,574.13
Germany,DEU,2022-08-18 15:00:00,2022-08-18 17:00:00,587.15
Germany,DEU,2022-08-18 16:00:00,2022-08-18 18:00:00,625.62
Germany,DEU,2022-08-18 17:00:00,2022-08-18 19:00:00,658.56
Germany,DEU,2022-08-18 18:00:00,2022-08-18 20:00:00,654.96
Germany,DEU,2022-08-18 19:00:00,2022-08-18 21:00:00,606.28
Germany,DEU,2022-08-18 20:00:00,2022-08-18 22:00:00,569.31
Germany,DEU,2022-08-18 21:00:00,2022-08-18 23:00:00,533.63
Germany,DEU,2022-08-18 22:00:00,2022-08-19 00:00:00,509.13
Germany,DEU,2022-08-18 23:00:00,2022-08-19 01:00:00,471.04
Germany,DEU,2022-08-19 00:00:00,2022-08-19 02:00:00,457.97
Germany,DEU,2022-08-19 01:00:00,2022-08-19 03:00:00,444.25
Germany,DEU,2022-08-19 02:00:00,2022-08-19 04:00:00,449.7
Germany,DEU,2022-08-19 03:00:00,2022-08-19 05:00:00,475.41
Germany,DEU,2022-08-19 04:00:00,2022-08-19 06:00:00,535.41
Germany,DEU,2022-08-19 05:00:00,2022-08-19 07:00:00,581.14
Germany,DEU,2022-08-19 06:00:00,2022-08-19 08:00:00,595.77
Germany,DEU,2022-08-19 07:00:00,2022-08-19 09:00:00,582.81
Germany,DEU,2022-08-19 08:00:00,2022-08-19 10:00:00,565.93
Germany,DEU,2022-08-19 09:00:00,2022-08-19 11:00:00,549.03
Germany,DEU,2022-08-19 10:00:00,2022-08-19 12:00:00,536.9
Germany,DEU,2022-08-19 11:00:00,2022-08-19 13:00:00,494.61
Germany,DEU,2022-08-19 12:00:00,2022-08-19 14:00:00,478.69
Germany,DEU,2022-08-19 13:00:00,2022-08-19 15:00:00,469.92
Germany,DEU,2022-08-19 14:00:00,2022-08-19 16:00:00,487.89
Germany,DEU,2022-08-19 15:00:00,2022-08-19 17:00:00,519.94
Germany,DEU,2022-08-19 16:00:00,2022-08-19 18:00:00,561.76
Germany,DEU,2022-08-19 17:00:00,2022-08-19 19:00:00,583.32
Germany,DEU,2022-08-19 18:00:00,2022-08-19 20:00:00,588.85
Germany,DEU,2022-08-19 19:00:00,2022-08-19 21:00:00,565.41
Germany,DEU,2022-08-19 20:00:00,2022-08-19 22:00:00,538.29
Germany,DEU,2022-08-19 21:00:00,2022-08-19 23:00:00,512.59
Germany,DEU,2022-08-19 22:00:00,2022-08-20 00:00:00,518.6
Germany,DEU,2022-08-19 23:00:00,2022-08-20 01:00:00,486.41
Germany,DEU,2022-08-20 00:00:00,2022-08-20 02:00:00,458.85
Germany,DEU,2022-08-20 01:00:00,2022-08-20 03:00:00,444.95
Germany,DEU,2022-08-20 02:00:00,2022-08-20 04:00:00,440.84
Germany,DEU,2022-08-20 03:00:00,2022-08-20 05:00:00,442.32
Germany,DEU,2022-08-20 04:00:00,2022-08-20 06:00:00,450.95
Germany,DEU,2022-08-20 05:00:00,2022-08-20 07:00:00,479.52
Germany,DEU,2022-08-20 06:00:00,2022-08-20 08:00:00,495.92
Germany,DEU,2022-08-20 07:00:00,2022-08-20 09:00:00,497.51
Germany,DEU,2022-08-20 08:00:00,2022-08-20 10:00:00,473.7
Germany,DEU,2022-08-20 09:00:00,2022-08-20 11:00:00,453.22
Germany,DEU,2022-08-20 10:00:00,2022-08-20 12:00:00,421.99
Germany,DEU,2022-08-20 11:00:00,2022-08-20 13:00:00,359.76
Germany,DEU,2022-08-20 12:00:00,2022-08-20 14:00:00,333.98
Germany,DEU,2022-08-20 13:00:00,2022-08-20 15:00:00,353.98
Germany,DEU,2022-08-20 14:00:00,2022-08-20 16:00:00,376.27
Germany,DEU,2022-08-20 15:00:00,2022-08-20 17:00:00,423.58
Germany,DEU,2022-08-20 16:00:00,2022-08-20 18:00:00,492.92
Germany,DEU,2022-08-20 17:00:00,2022-08-20 19:00:00,537.94
