valid_time,latitude,longitude,u10,v10,t2m,tcc,tp,ssrd
2022-08-28 18:00:00,51.0,10.0,0.30906677,-1.9335327,19.459381,0.019989014,0.0,0.0
2022-08-28 19:00:00,51.0,10.0,-0.07876587,-1.4967346,17.571075,0.0,0.0,0.0
2022-08-28 20:00:00,51.0,10.0,0.09599304,-1.9213715,15.873077,0.0010070801,0.0,0.0
2022-08-28 21:00:00,51.0,10.0,0.12245178,-1.655838,14.454742,0.07199097,0.0,0.0
2022-08-28 22:00:00,51.0,10.0,-0.19302368,-1.839859,12.935577,0.0,0.0,0.0
2022-08-28 23:00:00,51.0,10.0,-0.3022461,-1.6834564,12.051056,0.0,0.0,0.0
2022-08-29 00:00:00,51.0,10.0,-0.4188385,-1.8007507,11.449371,0.0,0.0,0.0
2022-08-29 01:00:00,51.0,10.0,-0.24501038,-1.4855804,10.551788,0.0,0.0,0.0
2022-08-29 02:00:00,51.0,10.0,0.01524353,-1.3477325,9.781036,0.14675903,0.0,0.0
2022-08-29 03:00:00,51.0,10.0,0.13832092,-1.8274994,9.02005,0.5455017,0.0,0.0
2022-08-29 04:00:00,51.0,10.0,0.4501953,-1.4661407,9.591095,0.85650635,0.0,0.0
2022-08-29 05:00:00,51.0,10.0,0.24394226,-1.1316223,9.461334,0.9089966,0.0,23424.0
2022-08-29 06:00:00,51.0,10.0,0.18637085,-1.2516174,11.038727,0.9680176,0.0,325696.0
2022-08-29 07:00:00,51.0,10.0,0.18913269,-1.4139252,13.228912,0.94073486,0.0,380800.0
2022-08-29 08:00:00,51.0,10.0,0.1374054,-1.4642334,15.29776,0.92974854,0.0,461568.0
2022-08-29 09:00:00,51.0,10.0,0.24264526,-1.5510254,17.05606,0.90148926,0.0,412096.0
2022-08-29 10:00:00,51.0,10.0,0.07699585,-0.7285919,17.756256,0.9205017,0.0,127360.0
2022-08-29 11:00:00,51.0,10.0,0.29267883,-1.0451965,19.011627,0.980011,0.0,204992.0
2022-08-29 12:00:00,51.0,10.0,-0.07762146,-1.5114746,19.930206,0.9680176,0.0,256704.0
2022-08-29 13:00:00,51.0,10.0,-0.34519958,-1.6272583,20.886261,0.7272644,0.0,0.0
2022-08-29 14:00:00,51.0,10.0,-0.8868408,-1.7927399,21.206207,0.6447754,0.0,0.0
2022-08-29 15:00:00,51.0,10.0,-0.9346771,-1.688385,21.424225,0.9755249,0.0,0.0
2022-08-29 16:00:00,51.0,10.0,-0.90560913,-1.5014954,21.424103,0.96777344,0.0,0.0
2022-08-29 17:00:00,51.0,10.0,-0.91929626,-1.6428986,20.700714,0.5562744,0.0,0.0
2022-08-29 18:00:00,51.0,10.0,-0.060760498,-1.5358582,18.25528,0.08850098,0.0,0.0
2022-08-29 19:00:00,51.0,10.0,-0.5157318,-1.5171051,15.816193,0.14675903,0.0,0.0
2022-08-29 20:00:00,51.0,10.0,-1.1560059,-1.5578003,14.9947815,0.34552002,0.0,0.0
2022-08-29 21:00:00,51.0,10.0,-1.0284271,-1.5428467,14.210968,0.048736572,0.0,0.0
2022-08-29 22:00:00,51.0,10.0,-0.70217896,-0.9092102,15.528717,0.041259766,0.0,0.0
2022-08-29 23:00:00,51.0,10.0,-0.62280273,-1.3956909,12.960236,0.33322144,0.0,0.0
2022-08-30 00:00:00,51.0,10.0,0.0126953125,-0.9985657,12.536652,0.007232666,0.0,0.0
2022-08-30 01:00:00,51.0,10.0,-0.23858643,-1.6253052,13.654449,0.1289978,0.0,0.0
2022-08-30 02:00:00,51.0,10.0,-0.94654846,-1.1927338,11.898224,0.77072144,0.0,0.0
2022-08-30 03:00:00,51.0,10.0,-0.98864746,-1.5708771,12.014191,0.9704895,0.0,0.0
2022-08-30 04:00:00,51.0,10.0,-0.9606323,-1.3700256,9.981232,0.9987488,0.0,0.0
2022-08-30 05:00:00,51.0,10.0,-1.3385773,-0.88908386,9.871124,0.55700684,0.0,18880.0
2022-08-30 06:00:00,51.0,10.0,-1.252182,-0.96725464,12.091339,0.18496704,0.0,261952.0
2022-08-30 07:00:00,51.0,10.0,-1.395874,-0.86312866,14.822662,0.73324585,0.0,555584.0
2022-08-30 08:00:00,51.0,10.0,-2.0630035,-0.68211365,17.26419,0.832489,0.0,481856.0
2022-08-30 09:00:00,51.0,10.0,-2.1059418,-0.15789795,18.941559,0.93048096,0.0,470144.0
2022-08-30 10:00:00,51.0,10.0,-2.2540283,0.20024109,20.906647,0.94625854,0.0,393216.0
2022-08-30 11:00:00,51.0,10.0,-1.846344,-0.10620117,22.040924,0.76849365,0.0,0.0
2022-08-30 12:00:00,51.0,10.0,-1.0869141,-0.6863556,22.862213,0.37600708,0.0,187840.0
2022-08-30 13:00:00,51.0,10.0,-0.9585266,-1.1660614,23.437653,0.50527954,0.0,0.0
2022-08-30 14:00:00,51.0,10.0,-1.2559204,-1.5554199,23.390778,0.42575073,0.0,0.0
2022-08-30 15:00:00,51.0,10.0,-1.6914978,-1.7481537,23.732086,0.7285156,0.0,0.0
2022-08-30 16:00:00,51.0,10.0,-2.46727,-2.3395996,23.354767,0.6812439,0.0,0.0
2022-08-30 17:00:00,51.0,10.0,-3.0607605,-2.3916168,22.334747,0.7842407,0.0,0.0
2022-08-30 18:00:00,51.0,10.0,-3.0090637,-1.7948608,20.48172,0.8232422,0.0,0.0
2022-08-30 19:00:00,51.0,10.0,-2.8773499,-1.519043,18.966217,0.9902344,0.0,0.0
2022-08-30 20:00:00,51.0,10.0,-2.8429413,-1.1270752,17.56668,1.0,0.0,0.0
2022-08-30 21:00:00,51.0,10.0,-2.7920532,-0.8469696,16.677277,0.98999023,0.0,0.0
2022-08-30 22:00:00,51.0,10.0,-2.0133057,-0.6580963,15.613068,0.9897461,0.0,0.0
2022-08-30 23:00:00,51.0,10.0,-2.1656342,-1.1123657,15.08194,0.99975586,0.0,0.0
2022-08-31 00:00:00,51.0,10.0,-2.2393494,-0.8858948,14.743805,1.0,0.0,0.0
2022-08-31 01:00:00,51.0,10.0,-2.4229279,-1.0243988,14.418854,1.0,0.0,0.0
2022-08-31 02:00:00,51.0,10.0,-3.1745758,-1.3388824,13.94754,1.0,0.0,0.0
2022-08-31 03:00:00,51.0,10.0,-3.1299133,-1.1229248,13.413849,1.0,0.0,0.0
2022-08-31 04:00:00,51.0,10.0,-2.9910583,-1.1324921,13.072662,1.0,0.0,0.0
2022-08-31 05:00:00,51.0,10.0,-3.2159119,-1.0706177,13.011139,1.0,0.0,12288.0
2022-08-31 06:00:00,51.0,10.0,-3.3108368,-0.77957153,13.385284,1.0,0.0,171776.0
2022-08-31 07:00:00,51.0,10.0,-3.942459,-0.5383606,14.849396,1.0,0.0,85568.0
2022-08-31 08:00:00,51.0,10.0,-3.9774475,-0.5462036,16.43509,1.0,0.0,288704.0
2022-08-31 09:00:00,51.0,10.0,-4.1281586,-0.7057495,17.963165,1.0,0.0,493312.0
2022-08-31 10:00:00,51.0,10.0,-2.3424377,-1.4457092,18.789032,1.0,0.0,197376.0
2022-08-31 11:00:00,51.0,10.0,-3.006363,-1.9792786,19.532928,1.0,2.3841858e-06,0.0
2022-08-31 12:00:00,51.0,10.0,-3.370285,-1.7732086,20.154022,1.0,3.33786e-06,210816.0
2022-08-31 13:00:00,51.0,10.0,-3.2355194,-1.6998444,20.421295,0.98999023,0.0,0.0
2022-08-31 14:00:00,51.0,10.0,-3.3807373,-1.2907715,20.796051,0.99975586,0.0,208512.0
2022-08-31 15:00:00,51.0,10.0,-3.6890259,-1.2726746,20.790314,0.99975586,0.0,0.0
2022-08-31 16:00:00,51.0,10.0,-4.0798187,-1.2274933,20.267487,1.0,5.722046e-06,0.0
2022-08-31 17:00:00,51.0,10.0,-3.880005,-1.2175446,19.69522,1.0,0.0,0.0
2022-08-31 18:00:00,51.0,10.0,-3.9329681,-1.1569672,18.928253,0.98950195,0.0,0.0
2022-08-31 19:00:00,51.0,10.0,-3.3062744,-1.1209869,17.810577,0.9004822,0.0,0.0
2022-08-31 20:00:00,51.0,10.0,-2.9145966,-1.1083374,16.967072,0.7920227,0.0,0.0
2022-08-31 21:00:00,51.0,10.0,-2.7328796,-1.2618713,16.16629,0.6537781,0.0,0.0
2022-08-31 22:00:00,51.0,10.0,-2.2546387,-0.7415314,15.352692,0.5472412,0.0,0.0
2022-08-31 23:00:00,51.0,10.0,-1.9307556,-0.70458984,14.0260315,0.08999634,0.0,0.0
2022-09-01 00:00:00,51.0,10.0,-1.5596466,-0.56811523,13.305206,0.10974121,0.0,0.0
