time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230108:1930,0.0,0.0,0.0,0.0,0.0,6.67,3.45,0.0
20230108:2030,0.0,0.0,0.0,0.0,0.0,6.37,3.17,0.0
20230108:2130,0.0,0.0,0.0,0.0,0.0,5.89,3.03,0.0
20230108:2230,0.0,0.0,0.0,0.0,0.0,5.46,2.69,0.0
20230108:2330,0.0,0.0,0.0,0.0,0.0,4.93,2.62,0.0
20230109:0030,0.0,0.0,0.0,0.0,0.0,4.73,3.1,0.0
20230109:0130,0.0,0.0,0.0,0.0,0.0,4.89,3.66,0.0
20230109:0230,0.0,0.0,0.0,0.0,0.0,5.04,4.07,0.0
20230109:0330,0.0,0.0,0.0,0.0,0.0,5.21,4.21,0.0
20230109:0430,0.0,0.0,0.0,0.0,0.0,5.09,4.07,0.0
20230109:0530,0.0,0.0,0.0,0.0,0.0,5.02,3.79,0.0
20230109:0630,0.0,0.0,0.0,0.0,0.0,5.18,3.66,0.0
20230109:0730,0.0,0.0,3.7,0.06,0.46,6.03,4.34,0.0
20230109:0830,16.12,0.0,30.94,0.46,7.26,5.73,4.55,0.0
20230109:0930,42.39,0.0,63.13,0.95,12.48,5.46,4.69,0.0
20230109:1030,53.81,0.0,76.37,1.15,15.73,5.62,5.45,0.0
20230109:1130,56.34,0.0,79.31,1.19,16.72,5.9,6.62,0.0
20230109:1230,46.77,0.0,68.39,1.03,15.34,6.2,6.28,0.0
20230109:1330,30.24,0.0,48.86,0.73,11.74,6.56,5.45,0.0
20230109:1430,11.58,0.0,24.88,0.37,6.24,6.44,3.72,0.0
20230109:1530,0.0,0.0,0.0,0.0,-0.78,5.85,3.52,0.0
20230109:1630,0.0,0.0,0.0,0.0,0.0,5.28,3.79,0.0
20230109:1730,0.0,0.0,0.0,0.0,0.0,5.11,4.0,0.0
20230109:1830,0.0,0.0,0.0,0.0,0.0,4.95,4.0,0.0
20230109:1930,0.0,0.0,0.0,0.0,0.0,5.1,4.0,0.0
20230109:2030,0.0,0.0,0.0,0.0,0.0,4.99,3.72,0.0
20230109:2130,0.0,0.0,0.0,0.0,0.0,4.7,3.66,0.0
20230109:2230,0.0,0.0,0.0,0.0,0.0,4.43,3.59,0.0
20230109:2330,0.0,0.0,0.0,0.0,0.0,4.31,3.59,0.0
20230110:0030,0.0,0.0,0.0,0.0,0.0,4.33,3.66,0.0
20230110:0130,0.0,0.0,0.0,0.0,0.0,4.38,3.72,0.0
20230110:0230,0.0,0.0,0.0,0.0,0.0,4.41,3.79,0.0
20230110:0330,0.0,0.0,0.0,0.0,0.0,4.35,3.93,0.0
20230110:0430,0.0,0.0,0.0,0.0,0.0,4.36,4.0,0.0
20230110:0530,0.0,0.0,0.0,0.0,0.0,4.25,3.79,0.0
20230110:0630,0.0,0.0,0.0,0.0,0.0,4.15,3.66,0.0
20230110:0730,0.0,0.0,3.79,0.06,0.54,4.28,3.66,0.0
20230110:0830,15.65,0.0,30.18,0.45,7.35,4.39,3.38,0.0
20230110:0930,42.21,0.0,62.73,0.94,12.59,4.52,3.52,0.0
20230110:1030,42.08,0.0,62.64,0.94,15.86,4.86,4.07,0.0
20230110:1130,55.67,0.0,78.42,1.18,16.86,5.19,4.41,0.0
20230110:1230,45.95,0.0,67.28,1.01,15.5,5.41,4.48,0.0
20230110:1330,35.65,0.0,55.19,0.83,11.91,5.49,4.07,0.0
20230110:1430,16.18,0.0,30.99,0.47,6.41,5.36,4.0,0.0
20230110:1530,0.0,0.0,0.0,0.0,-0.61,4.7,3.93,0.0
20230110:1630,0.0,0.0,0.0,0.0,0.0,4.16,3.72,0.0
20230110:1730,0.0,0.0,0.0,0.0,0.0,4.03,3.79,0.0
20230110:1830,0.0,0.0,0.0,0.0,0.0,3.96,4.07,0.0
20230110:1930,0.0,0.0,0.0,0.0,0.0,4.01,4.28,0.0
20230110:2030,0.0,0.0,0.0,0.0,0.0,4.06,4.55,0.0
20230110:2130,0.0,0.0,0.0,0.0,0.0,4.07,4.97,0.0
20230110:2230,0.0,0.0,0.0,0.0,0.0,3.87,5.17,0.0
20230110:2330,0.0,0.0,0.0,0.0,0.0,3.81,5.31,0.0
20230111:0030,0.0,0.0,0.0,0.0,0.0,3.88,5.31,0.0
20230111:0130,0.0,0.0,0.0,0.0,0.0,4.07,5.24,0.0
20230111:0230,0.0,0.0,0.0,0.0,0.0,4.55,5.1,0.0
20230111:0330,0.0,0.0,0.0,0.0,0.0,5.08,5.03,0.0
20230111:0430,0.0,0.0,0.0,0.0,0.0,5.65,5.03,0.0
20230111:0530,0.0,0.0,0.0,0.0,0.0,6.22,5.1,0.0
20230111:0630,0.0,0.0,0.0,0.0,0.0,6.81,5.24,0.0
20230111:0730,0.0,0.0,1.83,0.03,0.62,6.59,5.03,0.0
20230111:0830,0.41,0.0,6.55,0.1,7.45,7.07,5.1,0.0
20230111:0930,2.91,0.0,11.64,0.17,12.71,7.47,5.1,0.0
20230111:1030,4.44,0.0,14.27,0.21,15.99,7.75,5.1,0.0
20230111:1130,4.27,0.0,14.0,0.21,17.02,8.02,4.9,0.0
20230111:1230,4.91,0.0,15.07,0.23,15.67,8.17,4.62,0.0
20230111:1330,3.4,0.0,12.53,0.19,12.08,8.23,4.62,0.0
20230111:1430,3.2,0.0,12.17,0.18,6.58,8.26,4.34,0.0
20230111:1530,0.0,0.0,0.0,0.0,-0.43,7.98,3.86,0.0
20230111:1630,0.0,0.0,0.0,0.0,0.0,7.25,4.0,0.0
20230111:1730,0.0,0.0,0.0,0.0,0.0,6.52,3.93,0.0
20230111:1830,0.0,0.0,0.0,0.0,0.0,6.14,4.0,0.0
20230111:1930,0.0,0.0,0.0,0.0,0.0,6.01,4.28,0.0
20230111:2030,0.0,0.0,0.0,0.0,0.0,5.86,4.55,0.0
20230111:2130,0.0,0.0,0.0,0.0,0.0,5.55,4.69,0.0
20230111:2230,0.0,0.0,0.0,0.0,0.0,5.43,4.9,0.0
20230111:2330,0.0,0.0,0.0,0.0,0.0,5.11,5.24,0.0
20230112:0030,0.0,0.0,0.0,0.0,0.0,4.91,5.66,0.0
20230112:0130,0.0,0.0,0.0,0.0,0.0,5.14,6.14,0.0
20230112:0230,0.0,0.0,0.0,0.0,0.0,5.56,6.48,0.0
20230112:0330,0.0,0.0,0.0,0.0,0.0,5.71,6.41,0.0
20230112:0430,0.0,0.0,0.0,0.0,0.0,5.93,6.34,0.0
20230112:0530,0.0,0.0,0.0,0.0,0.0,6.08,6.34,0.0
20230112:0630,0.0,0.0,0.0,0.0,0.0,6.16,6.41,0.0
20230112:0730,0.0,0.0,3.3,0.05,0.7,6.67,6.69,0.0
20230112:0830,7.37,0.0,18.81,0.28,7.55,6.78,7.03,0.0
20230112:0930,12.17,0.0,25.68,0.39,12.83,6.54,7.45,0.0
20230112:1030,23.03,0.0,39.9,0.6,16.14,6.5,7.72,0.0
20230112:1130,13.95,0.0,28.13,0.42,17.18,6.65,7.45,0.0
20230112:1230,16.88,0.0,32.06,0.48,15.84,6.88,7.24,0.0
20230112:1330,7.82,0.0,19.53,0.29,12.26,7.23,6.97,0.0
20230112:1430,1.7,0.0,9.36,0.14,6.77,7.43,6.76,0.0
20230112:1530,0.0,0.0,0.0,0.0,-0.25,7.57,6.55,0.0
20230112:1630,0.0,0.0,0.0,0.0,0.0,7.63,6.34,0.0
20230112:1730,0.0,0.0,0.0,0.0,0.0,7.7,6.34,0.0
20230112:1830,0.0,0.0,0.0,0.0,0.0,7.77,6.41,0.0
20230112:1930,0.0,0.0,0.0,0.0,0.0,7.88,6.41,0.0
20230112:2030,0.0,0.0,0.0,0.0,0.0,7.95,6.55,0.0
20230112:2130,0.0,0.0,0.0,0.0,0.0,8.0,6.62,0.0
20230112:2230,0.0,0.0,0.0,0.0,0.0,8.06,6.62,0.0
20230112:2330,0.0,0.0,0.0,0.0,0.0,8.08,6.62,0.0
20230113:0030,0.0,0.0,0.0,0.0,0.0,8.08,6.48,0.0
20230113:0130,0.0,0.0,0.0,0.0,0.0,8.21,6.28,0.0
20230113:0230,0.0,0.0,0.0,0.0,0.0,8.29,6.0,0.0
20230113:0330,0.0,0.0,0.0,0.0,0.0,8.38,5.93,0.0
20230113:0430,0.0,0.0,0.0,0.0,0.0,8.35,5.93,0.0
20230113:0530,0.0,0.0,0.0,0.0,0.0,8.35,6.07,0.0
20230113:0630,0.0,0.0,0.0,0.0,0.0,7.99,5.93,0.0
20230113:0730,0.0,0.0,1.52,0.02,0.8,8.0,5.52,0.0
20230113:0830,4.09,0.0,13.69,0.21,7.66,7.69,5.52,0.0
20230113:0930,18.61,0.0,34.42,0.52,12.96,7.61,5.24,0.0
20230113:1030,38.02,0.0,58.4,0.88,16.29,7.38,5.31,0.0
20230113:1130,60.12,0.0,84.17,1.26,17.34,7.41,5.59,0.0
20230113:1230,47.42,0.0,69.55,1.05,16.02,7.64,5.66,0.0
20230113:1330,33.53,0.0,53.05,0.8,12.45,7.63,6.07,0.0
20230113:1430,14.26,0.0,28.62,0.43,6.95,7.29,6.34,0.0
20230113:1530,0.0,0.0,0.0,0.0,-0.07,6.67,5.66,0.0
20230113:1630,0.0,0.0,0.0,0.0,0.0,6.21,5.66,0.0
20230113:1730,0.0,0.0,0.0,0.0,0.0,6.03,5.52,0.0
20230113:1830,0.0,0.0,0.0,0.0,0.0,6.15,5.66,0.0
20230113:1930,0.0,0.0,0.0,0.0,0.0,5.75,5.52,0.0
20230113:2030,0.0,0.0,0.0,0.0,0.0,5.34,5.38,0.0
20230113:2130,0.0,0.0,0.0,0.0,0.0,5.43,5.52,0.0
20230113:2230,0.0,0.0,0.0,0.0,0.0,5.38,5.52,0.0
20230113:2330,0.0,0.0,0.0,0.0,0.0,5.4,5.45,0.0
20230114:0030,0.0,0.0,0.0,0.0,0.0,5.34,5.38,0.0
20230114:0130,0.0,0.0,0.0,0.0,0.0,5.06,5.17,0.0
20230114:0230,0.0,0.0,0.0,0.0,0.0,4.92,5.03,0.0
20230114:0330,0.0,0.0,0.0,0.0,0.0,4.81,4.97,0.0
20230114:0430,0.0,0.0,0.0,0.0,0.0,4.79,4.83,0.0
20230114:0530,0.0,0.0,0.0,0.0,0.0,4.53,4.62,0.0
20230114:0630,0.0,0.0,0.0,0.0,0.0,4.26,4.14,0.0
20230114:0730,0.78,0.0,7.36,0.11,0.9,4.11,4.21,0.0
20230114:0830,22.16,0.0,38.52,0.58,7.78,4.33,4.28,0.0
20230114:0930,37.97,0.0,57.78,0.87,13.1,4.82,4.62,0.0
20230114:1030,54.54,0.0,77.17,1.16,16.45,5.46,5.24,0.0
20230114:1130,30.15,0.0,48.64,0.73,17.52,6.06,6.76,0.0
20230114:1230,23.6,0.0,40.57,0.61,16.21,6.06,5.31,0.0
20230114:1330,27.26,0.0,45.16,0.68,12.64,6.36,5.79,0.0
20230114:1430,5.29,0.0,15.6,0.23,7.15,6.81,6.28,0.0
20230114:1530,0.0,0.0,1.38,0.02,0.13,6.86,6.62,0.0
20230114:1630,0.0,0.0,0.0,0.0,0.0,7.02,6.83,0.0
20230114:1730,0.0,0.0,0.0,0.0,0.0,7.2,6.9,0.0
20230114:1830,0.0,0.0,0.0,0.0,0.0,7.4,7.03,0.0
20230114:1930,0.0,0.0,0.0,0.0,0.0,7.41,6.97,0.0
20230114:2030,0.0,0.0,0.0,0.0,0.0,7.59,7.17,0.0
20230114:2130,0.0,0.0,0.0,0.0,0.0,7.87,6.97,0.0
20230114:2230,0.0,0.0,0.0,0.0,0.0,8.33,6.76,0.0
20230114:2330,0.0,0.0,0.0,0.0,0.0,8.7,6.62,0.0
20230115:0030,0.0,0.0,0.0,0.0,0.0,8.86,6.69,0.0
20230115:0130,0.0,0.0,0.0,0.0,0.0,8.86,6.76,0.0
20230115:0230,0.0,0.0,0.0,0.0,0.0,8.91,6.28,0.0
20230115:0330,0.0,0.0,0.0,0.0,0.0,8.59,5.79,0.0
20230115:0430,0.0,0.0,0.0,0.0,0.0,7.37,5.1,0.0
20230115:0530,0.0,0.0,0.0,0.0,0.0,5.76,4.62,0.0
20230115:0630,0.0,0.0,0.0,0.0,0.0,4.94,4.34,0.0
20230115:0730,0.0,0.0,4.81,0.07,1.01,4.59,4.07,0.0
20230115:0830,16.47,0.0,31.25,0.47,7.91,4.42,4.28,0.0
20230115:0930,45.53,0.0,66.52,1.0,13.24,4.44,5.03,0.0
