time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230421:0330,0.0,0.0,0.0,0.0,0.0,6.4,3.59,0.0
20230421:0430,3.19,0.0,12.08,0.17,2.0,6.12,3.45,0.0
20230421:0530,89.19,66.23,64.33,1.65,11.23,6.01,3.31,0.0
20230421:0630,160.23,131.95,83.95,3.67,20.62,7.02,3.1,0.0
20230421:0730,215.88,186.28,93.83,5.78,29.76,9.3,3.72,0.0
20230421:0830,257.77,226.4,100.88,7.61,38.16,11.06,4.14,0.0
20230421:0930,268.23,218.79,118.3,8.16,45.08,13.13,4.9,0.0
20230421:1030,298.17,197.52,172.99,8.7,49.55,14.35,5.03,0.0
20230421:1130,256.55,216.93,107.46,8.26,50.62,15.45,5.38,0.0
20230421:1230,247.56,164.38,149.02,7.25,48.0,16.09,5.24,0.0
20230421:1330,214.38,100.79,172.57,5.51,42.35,16.43,5.17,0.0
20230421:1430,171.93,83.78,141.8,4.33,34.69,16.63,5.1,0.0
20230421:1530,131.12,94.17,89.28,3.46,25.9,16.64,4.69,0.0
20230421:1630,79.04,43.85,74.51,1.82,16.59,16.39,4.41,0.0
20230421:1730,37.73,28.58,39.2,0.78,7.23,15.35,3.93,0.0
20230421:1830,0.0,0.0,0.0,0.0,-1.81,14.01,3.1,0.0
20230421:1930,0.0,0.0,0.0,0.0,0.0,13.4,3.59,0.0
20230421:2030,0.0,0.0,0.0,0.0,0.0,12.39,3.17,0.0
20230421:2130,0.0,0.0,0.0,0.0,0.0,11.36,2.97,0.0
20230421:2230,0.0,0.0,0.0,0.0,0.0,10.47,2.83,0.0
20230421:2330,0.0,0.0,0.0,0.0,0.0,9.74,2.69,0.0
20230422:0030,0.0,0.0,0.0,0.0,0.0,9.08,2.48,0.0
20230422:0130,0.0,0.0,0.0,0.0,0.0,8.38,2.34,0.0
20230422:0230,0.0,0.0,0.0,0.0,0.0,7.6,2.21,0.0
20230422:0330,0.0,0.0,0.0,0.0,0.0,6.84,2.0,0.0
20230422:0430,12.15,13.73,15.73,0.26,2.3,6.07,1.93,0.0
20230422:0530,89.59,54.16,74.08,1.65,11.52,6.02,1.79,0.0
20230422:0630,170.09,158.61,73.6,3.98,20.91,8.67,1.45,0.0
20230422:0730,221.11,213.6,79.48,6.14,30.06,12.91,2.55,0.0
20230422:0830,260.0,259.95,77.9,8.05,38.47,14.73,2.97,0.0
20230422:0930,288.68,277.3,93.87,9.39,45.41,16.53,2.97,0.0
20230422:1030,302.19,284.9,102.9,10.12,49.89,17.99,3.03,0.0
20230422:1130,285.46,221.33,144.65,8.98,50.95,19.1,3.17,0.0
20230422:1230,255.69,191.92,138.57,7.88,48.31,19.52,3.38,0.0
20230422:1330,226.78,151.98,144.55,6.55,42.62,19.72,3.24,0.0
20230422:1430,195.71,152.82,110.71,5.69,34.94,19.69,3.31,0.0
20230422:1530,132.01,91.55,94.61,3.45,26.13,19.59,3.24,0.0
20230422:1630,78.37,35.67,81.41,1.77,16.82,18.95,2.55,0.0
20230422:1730,26.11,9.32,38.92,0.63,7.46,17.83,2.21,0.0
20230422:1830,0.0,0.0,0.0,0.0,-1.57,16.45,2.83,0.0
20230422:1930,0.0,0.0,0.0,0.0,0.0,15.34,2.07,0.0
20230422:2030,0.0,0.0,0.0,0.0,0.0,14.57,2.0,0.0
20230422:2130,0.0,0.0,0.0,0.0,0.0,13.95,2.34,0.0
20230422:2230,0.0,0.0,0.0,0.0,0.0,13.36,2.69,0.0
20230422:2330,0.0,0.0,0.0,0.0,0.0,12.75,2.76,0.0
20230423:0030,0.0,0.0,0.0,0.0,0.0,11.97,2.76,0.0
20230423:0130,0.0,0.0,0.0,0.0,0.0,11.68,2.76,0.0
20230423:0230,0.0,0.0,0.0,0.0,0.0,11.62,2.83,0.0
20230423:0330,0.0,0.0,0.0,0.0,0.0,11.41,3.1,0.0
20230423:0430,2.05,0.0,10.17,0.15,2.59,11.08,3.31,0.0
20230423:0530,48.15,17.73,57.12,1.01,11.81,10.86,3.17,0.0
20230423:0630,89.68,39.59,85.55,1.95,21.2,11.11,2.9,0.0
20230423:0730,187.97,100.06,141.72,4.39,30.36,11.62,2.28,0.0
20230423:0830,249.43,225.09,94.41,7.32,38.78,12.74,2.69,0.0
20230423:0930,247.13,209.04,104.61,7.49,45.74,14.13,3.17,0.0
20230423:1030,234.96,176.4,120.73,7.01,50.23,14.95,3.45,0.0
20230423:1130,272.28,227.02,116.72,8.58,51.29,15.52,3.45,0.0
20230423:1230,267.74,201.18,138.32,8.09,48.61,16.21,3.52,0.0
20230423:1330,237.82,129.32,173.93,6.3,42.9,16.6,3.38,0.0
20230423:1430,194.3,70.45,180.18,4.5,35.18,16.6,2.9,0.0
20230423:1530,134.98,56.66,125.72,3.1,26.36,16.4,2.83,0.0
20230423:1630,103.35,89.66,64.92,2.43,17.04,16.07,2.0,0.0
20230423:1730,46.12,33.0,45.78,0.9,7.68,15.68,1.72,0.0
20230423:1830,0.0,0.0,0.0,0.0,-1.33,14.44,1.93,0.0
20230423:1930,0.0,0.0,0.0,0.0,0.0,13.0,2.34,0.0
20230423:2030,0.0,0.0,0.0,0.0,0.0,11.97,2.21,0.0
20230423:2130,0.0,0.0,0.0,0.0,0.0,11.37,2.76,0.0
20230423:2230,0.0,0.0,0.0,0.0,0.0,11.18,2.97,0.0
20230423:2330,0.0,0.0,0.0,0.0,0.0,11.01,3.59,0.0
20230424:0030,0.0,0.0,0.0,0.0,0.0,10.35,3.93,0.0
20230424:0130,0.0,0.0,0.0,0.0,0.0,9.4,3.72,0.0
20230424:0230,0.0,0.0,0.0,0.0,0.0,8.83,3.45,0.0
20230424:0330,0.0,0.0,0.0,0.0,0.0,8.68,3.38,0.0
20230424:0430,1.85,0.0,9.7,0.14,2.89,8.8,3.24,0.0
20230424:0530,22.0,0.0,39.08,0.56,12.09,9.24,3.17,0.0
20230424:0630,102.64,49.07,90.95,2.19,21.48,9.73,3.31,0.0
20230424:0730,213.86,178.39,96.15,5.48,30.65,9.9,4.34,0.0
20230424:0830,260.83,217.08,108.09,7.27,39.09,10.3,5.52,0.0
20230424:0930,280.15,215.51,128.27,8.01,46.06,10.74,6.0,0.0
20230424:1030,291.68,252.59,103.99,8.96,50.56,11.08,6.97,0.0
20230424:1130,329.1,218.44,180.71,9.35,51.61,11.58,6.21,0.0
20230424:1230,261.37,175.09,147.08,7.36,48.91,12.26,6.14,0.0
20230424:1330,237.38,144.33,148.44,6.28,43.16,10.5,7.24,0.0
20230424:1430,226.12,131.07,150.88,5.65,35.43,9.84,6.62,0.0
20230424:1530,143.63,70.71,117.29,3.27,26.59,10.43,6.97,0.0
20230424:1630,101.01,58.92,83.06,2.16,17.26,10.28,5.59,0.0
20230424:1730,44.1,33.83,40.69,0.85,7.91,10.05,4.69,0.0
20230424:1830,0.0,0.0,0.0,0.0,-1.1,9.52,4.0,0.0
20230424:1930,0.0,0.0,0.0,0.0,0.0,8.34,3.79,0.0
20230424:2030,0.0,0.0,0.0,0.0,0.0,7.86,3.59,0.0
20230424:2130,0.0,0.0,0.0,0.0,0.0,7.34,3.38,0.0
20230424:2230,0.0,0.0,0.0,0.0,0.0,6.89,3.24,0.0
20230424:2330,0.0,0.0,0.0,0.0,0.0,6.38,3.1,0.0
20230425:0030,0.0,0.0,0.0,0.0,0.0,5.8,3.1,0.0
20230425:0130,0.0,0.0,0.0,0.0,0.0,5.4,3.1,0.0
20230425:0230,0.0,0.0,0.0,0.0,0.0,5.06,3.03,0.0
20230425:0330,0.0,0.0,0.0,0.0,0.0,4.66,3.03,0.0
20230425:0430,22.76,32.99,14.37,0.31,3.17,4.42,3.1,0.0
20230425:0530,74.81,50.87,58.0,1.39,12.37,4.48,3.17,0.0
20230425:0630,105.6,59.87,81.81,2.25,21.76,5.25,4.55,0.0
20230425:0730,152.44,87.9,105.94,3.52,30.94,5.81,4.14,0.0
20230425:0830,235.81,175.5,113.74,6.2,39.39,5.96,3.93,0.0
20230425:0930,277.26,164.17,168.85,7.13,46.38,6.55,4.0,0.0
20230425:1030,301.14,179.69,180.67,7.99,50.89,7.59,4.48,0.0
20230425:1130,320.82,126.9,255.38,7.62,51.94,8.67,4.62,0.0
20230425:1230,298.16,124.47,233.26,7.15,49.21,9.23,4.9,0.0
20230425:1330,284.39,132.36,212.17,6.9,43.43,9.41,4.9,0.0
20230425:1430,233.94,140.72,150.93,5.86,35.67,9.6,4.76,0.0
20230425:1530,194.81,136.63,115.6,4.69,26.81,9.56,4.62,0.0
20230425:1630,130.37,97.15,83.06,2.78,17.49,9.07,4.55,0.0
20230425:1730,74.46,73.52,44.56,1.21,8.13,8.25,3.79,0.0
20230425:1830,0.0,0.0,0.0,0.0,-0.86,7.23,3.17,0.0
20230425:1930,0.0,0.0,0.0,0.0,0.0,6.01,2.62,0.0
20230425:2030,0.0,0.0,0.0,0.0,0.0,5.07,2.48,0.0
20230425:2130,0.0,0.0,0.0,0.0,0.0,4.2,2.48,0.0
20230425:2230,0.0,0.0,0.0,0.0,0.0,3.7,2.41,0.0
20230425:2330,0.0,0.0,0.0,0.0,0.0,3.1,2.28,0.0
20230426:0030,0.0,0.0,0.0,0.0,0.0,2.39,2.21,0.0
20230426:0130,0.0,0.0,0.0,0.0,0.0,1.83,2.28,0.0
20230426:0230,0.0,0.0,0.0,0.0,0.0,1.35,2.34,0.0
20230426:0330,0.0,0.0,0.0,0.0,0.0,0.93,2.34,0.0
20230426:0430,42.14,55.83,19.01,0.45,3.45,0.55,2.21,0.0
20230426:0530,131.82,120.83,60.21,2.2,12.65,0.73,2.14,0.0
20230426:0630,197.6,163.43,89.22,4.19,22.04,2.39,2.55,0.0
20230426:0730,236.21,182.98,108.85,5.7,31.22,4.08,3.66,0.0
20230426:0830,273.07,152.1,176.0,6.54,39.68,5.23,3.59,0.0
20230426:0930,259.83,41.3,266.47,5.03,46.69,6.31,3.66,0.0
20230426:1030,329.44,74.78,313.34,6.81,51.22,6.58,3.45,0.0
20230426:1130,286.04,32.05,306.6,5.4,52.26,7.61,3.59,0.0
20230426:1230,256.33,33.17,272.43,4.92,49.51,7.81,3.52,0.0
20230426:1330,244.12,37.94,255.07,4.76,43.7,7.98,3.24,0.0
20230426:1430,216.32,42.85,220.48,4.3,35.91,8.28,3.17,0.0
20230426:1530,157.89,44.44,155.27,3.21,27.04,8.46,3.17,0.0
20230426:1630,103.23,45.82,95.01,2.1,17.71,8.32,3.31,0.0
20230426:1730,41.15,23.07,44.46,0.82,8.36,7.93,2.62,0.0
20230426:1830,0.0,0.0,0.0,0.0,-0.62,7.28,1.93,0.0
20230426:1930,0.0,0.0,0.0,0.0,0.0,6.23,1.38,0.0
20230426:2030,0.0,0.0,0.0,0.0,0.0,4.8,1.31,0.0
20230426:2130,0.0,0.0,0.0,0.0,0.0,4.3,1.24,0.0
20230426:2230,0.0,0.0,0.0,0.0,0.0,4.13,1.03,0.0
20230426:2330,0.0,0.0,0.0,0.0,0.0,3.94,0.97,0.0
20230427:0030,0.0,0.0,0.0,0.0,0.0,2.75,1.17,0.0
20230427:0130,0.0,0.0,0.0,0.0,0.0,1.83,1.24,0.0
20230427:0230,0.0,0.0,0.0,0.0,0.0,1.54,1.17,0.0
20230427:0330,0.0,0.0,0.0,0.0,0.0,1.44,1.17,0.0
20230427:0430,26.73,35.03,16.63,0.36,3.73,1.44,1.03,0.0
20230427:0530,65.17,45.49,50.34,1.23,12.92,2.07,0.69,0.0
20230427:0630,158.66,96.28,107.77,3.25,22.31,3.45,0.28,0.0
20230427:0730,223.79,159.66,120.48,5.31,31.5,5.78,1.03,0.0
20230427:0830,286.93,195.43,156.85,7.33,39.98,6.69,0.9,0.0
20230427:0930,312.59,238.06,147.13,8.78,47.0,7.96,0.34,0.0
20230427:1030,308.73,180.77,196.47,8.17,51.54,9.0,0.83,0.0
20230427:1130,295.07,81.08,276.34,6.45,52.57,9.82,1.52,0.0
20230427:1230,297.86,64.09,295.61,6.19,49.8,10.18,2.21,0.0
20230427:1330,256.53,65.71,247.7,5.44,43.96,10.55,2.0,0.0
20230427:1430,237.53,78.89,215.82,5.16,36.14,10.72,1.52,0.0
20230427:1530,160.93,45.67,160.56,3.31,27.26,10.98,1.31,0.0
20230427:1630,102.02,34.86,104.54,2.06,17.92,10.79,1.17,0.0
20230427:1730,40.19,9.83,54.15,0.85,8.58,10.3,1.38,0.0
20230427:1830,0.0,0.0,0.0,0.0,-0.39,9.17,1.79,0.0
20230427:1930,0.0,0.0,0.0,0.0,0.0,8.09,2.34,0.0
20230427:2030,0.0,0.0,0.0,0.0,0.0,7.21,2.55,0.0
20230427:2130,0.0,0.0,0.0,0.0,0.0,6.4,2.28,0.0
20230427:2230,0.0,0.0,0.0,0.0,0.0,6.12,2.62,0.0
20230427:2330,0.0,0.0,0.0,0.0,0.0,6.0,2.69,0.0
20230428:0030,0.0,0.0,0.0,0.0,0.0,5.8,2.62,0.0
20230428:0130,0.0,0.0,0.0,0.0,0.0,5.46,2.41,0.0
20230428:0230,0.0,0.0,0.0,0.0,0.0,5.08,2.07,0.0
20230428:0330,0.0,0.0,0.0,0.0,0.0,4.73,1.86,0.0
20230428:0430,15.98,12.63,20.73,0.34,4.0,4.35,1.72,0.0
20230428:0530,64.96,22.34,70.14,1.25,13.19,4.48,1.38,0.0
20230428:0630,115.45,34.28,115.93,2.27,22.58,6.14,1.17,0.0
20230428:0730,188.82,58.07,176.64,3.84,31.77,8.13,1.31,0.0
20230428:0830,205.54,65.88,187.97,4.4,40.26,9.81,2.07,0.0
20230428:0930,275.84,97.85,238.64,6.2,47.3,11.1,2.28,0.0
20230428:1030,247.57,86.04,218.46,5.66,51.86,12.44,2.28,0.0
20230428:1130,159.7,19.61,182.24,3.19,52.89,13.14,2.34,0.0
20230428:1230,102.53,0.2,135.39,1.95,50.09,12.91,2.28,0.0
20230428:1330,187.11,24.11,209.22,3.68,44.21,12.53,2.28,0.0
20230428:1430,104.39,8.79,129.45,2.08,36.38,13.06,3.03,0.0
20230428:1530,80.44,2.87,107.39,1.6,27.48,12.9,3.03,0.0
20230428:1630,47.43,0.34,70.88,1.02,18.14,12.83,2.9,0.0
20230428:1730,29.56,24.17,30.07,0.63,8.8,12.7,2.28,0.0
20230428:1830,0.0,0.0,0.0,0.0,-0.16,12.38,2.07,0.0
20230428:1930,0.0,0.0,0.0,0.0,0.0,11.89,2.0,0.0
20230428:2030,0.0,0.0,0.0,0.0,0.0,11.25,2.28,0.0
20230428:2130,0.0,0.0,0.0,0.0,0.0,10.76,2.41,0.0
20230428:2230,0.0,0.0,0.0,0.0,0.0,10.3,2.62,0.0
20230428:2330,0.0,0.0,0.0,0.0,0.0,10.49,2.83,0.0
20230429:0030,0.0,0.0,0.0,0.0,0.0,10.44,2.69,0.0
20230429:0130,0.0,0.0,0.0,0.0,0.0,10.51,2.55,0.0
20230429:0230,0.0,0.0,0.0,0.0,0.0,10.56,2.69,0.0
20230429:0330,0.0,0.0,0.0,0.0,0.0,10.55,2.76,0.0
20230429:0430,1.72,2.73,7.33,0.12,4.27,10.4,2.83,0.0
20230429:0530,17.13,0.11,32.74,0.47,13.45,10.17,3.03,0.0
20230429:0630,39.09,3.15,57.57,0.88,22.84,10.03,2.97,0.0
20230429:0730,67.32,0.29,93.34,1.35,32.04,10.17,3.59,0.0
20230429:0830,141.32,3.61,174.18,2.59,40.54,10.39,3.59,0.0
20230429:0930,170.91,12.38,199.17,3.2,47.6,10.74,3.86,0.0
20230429:1030,182.24,6.82,217.46,3.32,52.17,11.01,4.0,0.0
20230429:1130,194.34,13.49,225.05,3.63,53.2,11.23,3.66,0.0
20230429:1230,221.39,36.47,234.37,4.43,50.37,11.65,3.31,0.0
20230429:1330,241.26,81.66,215.09,5.35,44.47,12.28,3.45,0.0
20230429:1430,153.64,46.08,150.6,3.31,36.61,13.04,3.59,0.0
20230429:1530,115.94,30.04,123.55,2.41,27.7,12.93,3.31,0.0
20230429:1630,85.56,33.38,87.07,1.77,18.35,12.69,2.97,0.0
20230429:1730,37.76,19.45,43.75,0.78,9.02,12.35,2.69,0.0
20230429:1830,0.0,0.0,3.43,0.05,0.07,11.54,2.41,0.0
20230429:1930,0.0,0.0,0.0,0.0,0.0,10.39,2.07,0.0
20230429:2030,0.0,0.0,0.0,0.0,0.0,9.5,1.86,0.0
20230429:2130,0.0,0.0,0.0,0.0,0.0,8.7,1.79,0.0
20230429:2230,0.0,0.0,0.0,0.0,0.0,7.45,1.79,0.0
20230429:2330,0.0,0.0,0.0,0.0,0.0,6.15,1.86,0.0
20230430:0030,0.0,0.0,0.0,0.0,0.0,4.91,1.86,0.0
20230430:0130,0.0,0.0,0.0,0.0,0.0,4.0,1.66,0.0
20230430:0230,0.0,0.0,0.0,0.0,0.0,3.6,1.45,0.0
20230430:0330,0.0,0.0,0.0,0.0,0.0,3.05,1.38,0.0
20230430:0430,54.03,64.56,24.26,0.59,4.54,2.51,1.31,0.0
20230430:0530,145.43,132.5,64.12,2.38,13.71,3.1,0.9,0.0
20230430:0630,194.33,149.06,100.0,4.01,23.1,5.39,0.69,0.0
20230430:0730,258.72,210.32,111.89,6.2,32.31,6.96,1.52,0.0
20230430:0830,310.02,291.15,91.01,8.51,40.82,8.04,1.66,0.0
20230430:0930,339.29,330.15,86.01,10.04,47.9,9.35,1.79,0.0
20230430:1030,352.94,351.89,80.82,10.92,52.48,10.56,2.0,0.0
20230430:1130,354.37,352.82,83.12,11.12,53.5,11.59,2.14,0.0
20230430:1230,340.1,339.33,82.18,10.58,50.66,12.41,2.28,0.0
20230430:1330,314.39,313.24,81.27,9.46,44.72,12.94,2.34,0.0
20230430:1430,277.66,278.06,77.15,7.85,36.84,13.2,2.48,0.0
20230430:1530,229.28,226.81,75.19,5.79,27.92,13.12,2.62,0.0
20230430:1630,169.42,165.19,68.7,3.56,18.57,12.71,2.76,0.0
20230430:1730,93.76,93.3,49.44,1.45,9.23,11.98,2.48,0.0
20230430:1830,0.15,0.0,5.97,0.09,0.3,10.66,2.21,0.0
20230430:1930,0.0,0.0,0.0,0.0,0.0,9.38,2.41,0.0
20230430:2030,0.0,0.0,0.0,0.0,0.0,8.07,2.34,0.0
20230430:2130,0.0,0.0,0.0,0.0,0.0,6.94,2.28,0.0
20230430:2230,0.0,0.0,0.0,0.0,0.0,5.94,2.28,0.0
20230430:2330,0.0,0.0,0.0,0.0,0.0,5.11,2.28,0.0
20230501:0030,0.0,0.0,0.0,0.0,0.0,4.43,2.21,0.0
20230501:0130,0.0,0.0,0.0,0.0,0.0,3.8,2.14,0.0
20230501:0230,0.0,0.0,0.0,0.0,0.0,3.36,2.14,0.0
20230501:0330,0.0,0.0,0.0,0.0,0.0,3.12,2.07,0.0
20230501:0430,23.85,11.16,31.46,0.49,4.8,2.93,1.93,0.0
20230501:0530,113.56,49.41,99.98,1.95,13.96,3.43,1.59,0.0
20230501:0630,201.75,107.26,145.96,3.94,23.35,6.39,1.31,0.0
20230501:0730,252.09,75.46,233.04,5.02,32.57,9.26,1.59,0.0
20230501:0830,289.07,108.09,245.94,6.3,41.09,10.98,1.59,0.0
20230501:0930,334.37,118.43,291.9,7.51,48.19,12.58,1.45,0.0
20230501:1030,349.95,130.14,302.14,8.16,52.79,13.91,1.24,0.0
20230501:1130,333.39,95.39,318.33,7.41,53.8,14.88,1.03,0.0
20230501:1230,344.09,118.91,310.97,7.96,50.93,15.34,0.83,0.0
20230501:1330,273.36,134.98,211.28,6.71,44.97,15.81,0.55,0.0
20230501:1430,194.97,56.12,194.0,4.17,37.07,15.99,0.55,0.0
20230501:1530,114.28,19.47,133.88,2.33,28.13,15.92,0.62,0.0
20230501:1630,80.97,12.7,101.03,1.65,18.78,15.5,1.17,0.0
20230501:1730,38.77,12.1,51.37,0.83,9.45,14.87,1.24,0.0
20230501:1830,0.0,0.0,5.39,0.08,0.52,13.78,1.1,0.0
20230501:1930,0.0,0.0,0.0,0.0,0.0,11.93,1.59,0.0
20230501:2030,0.0,0.0,0.0,0.0,0.0,9.93,1.59,0.0
20230501:2130,0.0,0.0,0.0,0.0,0.0,8.21,1.79,0.0
20230501:2230,0.0,0.0,0.0,0.0,0.0,7.13,2.14,0.0
20230501:2330,0.0,0.0,0.0,0.0,0.0,6.95,2.34,0.0
20230502:0030,0.0,0.0,0.0,0.0,0.0,6.8,2.41,0.0
20230502:0130,0.0,0.0,0.0,0.0,0.0,6.35,2.34,0.0
20230502:0230,0.0,0.0,0.0,0.0,0.0,6.06,2.41,0.0
20230502:0330,0.0,0.0,0.0,0.0,-3.52,6.09,2.34,0.0
20230502:0430,41.95,49.48,22.52,0.53,5.05,6.16,2.21,0.0
20230502:0530,83.8,59.78,59.26,1.51,14.21,7.08,2.28,0.0
20230502:0630,127.61,65.45,101.45,2.57,23.6,8.68,3.31,0.0
20230502:0730,208.14,152.01,109.41,4.82,32.82,9.9,3.52,0.0
20230502:0830,240.54,99.11,195.83,5.28,41.36,10.89,2.83,0.0
20230502:0930,244.62,95.33,204.42,5.51,48.47,11.61,2.41,0.0
20230502:1030,238.14,24.82,265.82,4.53,53.09,11.91,2.41,0.0
20230502:1130,303.37,158.6,207.84,7.52,54.1,11.01,3.31,0.0
20230502:1230,270.06,122.65,206.11,6.41,51.21,11.58,3.17,0.0
20230502:1330,271.35,187.31,145.64,7.04,45.22,11.24,3.66,0.0
20230502:1430,212.2,126.06,139.35,5.04,37.29,11.23,3.66,0.0
20230502:1530,165.08,59.61,150.05,3.39,28.34,10.8,3.66,0.0
20230502:1630,75.95,24.88,81.62,1.55,18.99,9.99,3.79,0.0
20230502:1730,50.06,28.96,49.29,0.93,9.66,8.95,3.45,0.0
20230502:1830,0.4,0.0,6.55,0.1,0.75,8.35,2.97,0.0
20230502:1930,0.0,0.0,0.0,0.0,0.0,7.91,2.0,0.0
20230502:2030,0.0,0.0,0.0,0.0,0.0,6.94,1.79,0.0
20230502:2130,0.0,0.0,0.0,0.0,0.0,6.28,1.72,0.0
20230502:2230,0.0,0.0,0.0,0.0,0.0,5.33,1.66,0.0
20230502:2330,0.0,0.0,0.0,0.0,0.0,5.3,1.38,0.0
20230503:0030,0.0,0.0,0.0,0.0,0.0,4.99,1.17,0.0
20230503:0130,0.0,0.0,0.0,0.0,0.0,4.33,1.17,0.0
20230503:0230,0.0,0.0,0.0,0.0,0.0,4.06,1.24,0.0
20230503:0330,0.0,0.0,0.0,0.0,-3.26,3.63,1.31,0.0
20230503:0430,48.49,56.01,23.67,0.58,5.3,3.03,1.31,0.0
20230503:0530,113.81,85.98,68.19,1.92,14.46,3.86,0.9,0.0
20230503:0630,199.61,152.94,100.09,4.02,23.84,5.87,1.52,0.0
20230503:0730,260.86,155.4,162.57,5.68,33.07,6.41,2.0,0.0
20230503:0830,305.9,181.61,187.42,7.19,41.62,7.28,1.93,0.0
20230503:0930,358.16,247.22,184.62,9.29,48.75,8.19,1.79,0.0
20230503:1030,368.56,308.78,137.56,10.5,53.38,9.2,1.72,0.0
20230503:1130,369.68,351.99,98.12,11.11,54.39,10.1,1.79,0.0
20230503:1230,356.97,339.02,98.53,10.62,51.48,10.96,1.93,0.0
20230503:1330,330.66,323.34,86.7,9.6,45.46,11.6,2.07,0.0
20230503:1430,291.92,284.78,83.37,7.93,37.51,11.98,2.28,0.0
20230503:1530,242.2,232.31,81.21,5.87,28.55,12.1,2.48,0.0
20230503:1630,179.96,170.59,72.75,3.64,19.19,11.89,2.55,0.0
20230503:1730,103.92,100.32,52.97,1.56,9.87,11.36,2.41,0.0
20230503:1830,0.88,0.0,7.71,0.12,0.97,10.27,2.14,0.0
20230503:1930,0.0,0.0,0.0,0.0,0.0,9.18,2.28,0.0
20230503:2030,0.0,0.0,0.0,0.0,0.0,7.88,2.28,0.0
20230503:2130,0.0,0.0,0.0,0.0,0.0,6.79,2.21,0.0
20230503:2230,0.0,0.0,0.0,0.0,0.0,5.75,2.14,0.0
20230503:2330,0.0,0.0,0.0,0.0,0.0,4.72,2.07,0.0
20230504:0030,0.0,0.0,0.0,0.0,0.0,3.78,1.93,0.0
20230504:0130,0.0,0.0,0.0,0.0,0.0,3.08,1.93,0.0
20230504:0230,0.0,0.0,0.0,0.0,0.0,2.62,1.93,0.0
20230504:0330,0.0,0.0,0.0,0.0,-3.0,2.21,1.93,0.0
20230504:0430,54.1,48.63,35.48,0.7,5.55,1.9,1.93,0.0
20230504:0530,135.37,77.03,98.52,2.23,14.7,2.91,1.59,0.0
20230504:0630,198.29,88.16,158.45,3.76,24.08,6.51,1.31,0.0
20230504:0730,272.24,144.46,189.37,5.82,33.31,8.87,1.79,0.0
20230504:0830,326.52,167.53,231.16,7.49,41.88,10.91,1.93,0.0
20230504:0930,357.57,189.62,248.16,8.69,49.03,12.66,2.0,0.0
20230504:1030,377.56,215.37,248.49,9.65,53.67,14.04,2.21,0.0
20230504:1130,377.25,232.27,233.48,9.98,54.68,15.18,2.34,0.0
20230504:1230,356.32,240.99,202.18,9.61,51.75,16.15,2.41,0.0
20230504:1330,322.12,235.67,169.46,8.63,45.7,16.86,2.41,0.0
20230504:1430,283.46,172.22,187.62,6.85,37.73,17.32,2.55,0.0
20230504:1530,228.29,162.44,135.32,5.24,28.76,17.43,2.76,0.0
20230504:1630,161.57,113.37,106.45,3.23,19.4,17.22,2.62,0.0
20230504:1730,86.24,65.56,63.63,1.41,10.08,16.26,2.28,0.0
20230504:1830,1.54,0.0,9.23,0.14,1.19,14.63,2.28,0.0
20230504:1930,0.0,0.0,0.0,0.0,0.0,12.78,2.62,0.0
20230504:2030,0.0,0.0,0.0,0.0,0.0,11.48,2.41,0.0
20230504:2130,0.0,0.0,0.0,0.0,0.0,10.35,2.21,0.0
20230504:2230,0.0,0.0,0.0,0.0,0.0,9.29,2.0,0.0
20230504:2330,0.0,0.0,0.0,0.0,0.0,8.14,1.86,0.0
20230505:0030,0.0,0.0,0.0,0.0,0.0,7.15,1.72,0.0
20230505:0130,0.0,0.0,0.0,0.0,0.0,6.85,1.59,0.0
20230505:0230,0.0,0.0,0.0,0.0,0.0,6.28,1.66,0.0
20230505:0330,0.0,0.0,0.0,0.0,-2.75,5.94,1.59,0.0
20230505:0430,62.32,56.93,38.89,0.73,5.78,5.68,1.52,0.0
20230505:0530,156.66,138.77,70.35,2.53,14.93,6.84,1.1,0.0
20230505:0630,210.07,192.31,80.16,4.36,24.31,10.26,0.83,0.0
20230505:0730,250.38,225.06,94.8,6.05,33.55,13.59,1.17,0.0
20230505:0830,303.26,270.41,112.75,8.07,42.13,15.38,1.38,0.0
20230505:0930,294.13,236.73,134.56,8.06,49.3,17.01,1.31,0.0
20230505:1030,299.35,230.84,146.16,8.34,53.96,17.71,1.52,0.0
20230505:1130,324.93,194.78,215.11,8.54,54.97,18.15,1.17,0.0
20230505:1230,291.95,167.41,204.7,7.53,52.01,18.83,0.62,0.0
20230505:1330,266.68,142.85,199.12,6.59,45.94,19.35,0.83,0.0
20230505:1430,234.15,78.61,223.48,5.1,37.95,19.61,0.69,0.0
20230505:1530,172.88,50.58,177.55,3.57,28.97,19.69,0.48,0.0
20230505:1630,74.6,10.72,96.86,1.55,19.6,19.32,0.55,0.0
20230505:1730,16.89,0.0,33.43,0.48,10.29,17.42,1.38,0.0
20230505:1830,0.0,0.0,3.3,0.05,1.4,15.78,1.79,0.0
20230505:1930,0.0,0.0,0.0,0.0,0.0,14.19,1.86,0.0
20230505:2030,0.0,0.0,0.0,0.0,0.0,13.05,1.66,0.0
20230505:2130,0.0,0.0,0.0,0.0,0.0,12.22,1.66,0.0
20230505:2230,0.0,0.0,0.0,0.0,0.0,11.09,1.86,0.0
20230505:2330,0.0,0.0,0.0,0.0,0.0,10.64,1.93,0.0
