Datetime (UTC),temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation
2023-07-07 16:00:00,27.6,2.2,180,0,533.0,0.0
2023-07-07 17:00:00,26.9,9.9,134,44,356.0,0.0
2023-07-07 18:00:00,25.9,6.9,118,0,216.0,0.0
2023-07-07 19:00:00,23.2,6.1,87,4,84.0,0.0
2023-07-07 20:00:00,19.9,6.9,51,0,6.0,0.0
2023-07-07 21:00:00,19.4,8.7,60,61,0.0,0.0
2023-07-07 22:00:00,19.9,10.4,70,100,0.0,0.0
2023-07-07 23:00:00,19.5,11.2,69,2,0.0,0.0
2023-07-08 00:00:00,17.7,7.7,79,0,0.0,0.0
2023-07-08 01:00:00,17.1,8.0,72,57,0.0,0.0
2023-07-08 02:00:00,16.6,6.9,81,9,0.0,0.0
2023-07-08 03:00:00,14.8,5.4,70,0,0.0,0.0
2023-07-08 04:00:00,14.4,4.5,76,100,12.0,0.0
2023-07-08 05:00:00,15.6,2.7,67,0,91.0,0.0
2023-07-08 06:00:00,18.4,4.9,126,0,234.0,0.0
2023-07-08 07:00:00,21.0,5.8,120,100,375.0,0.0
2023-07-08 08:00:00,23.0,6.3,121,93,435.0,0.0
2023-07-08 09:00:00,25.6,7.5,125,29,604.0,0.0
2023-07-08 10:00:00,28.3,10.2,141,0,788.0,0.0
2023-07-08 11:00:00,29.7,14.8,166,0,857.0,0.0
2023-07-08 12:00:00,29.8,12.4,150,61,870.0,0.0
2023-07-08 13:00:00,30.3,13.1,148,51,772.0,0.0
2023-07-08 14:00:00,30.6,15.0,169,30,736.0,0.0
2023-07-08 15:00:00,30.4,7.7,127,45,559.0,0.0
2023-07-08 16:00:00,30.2,8.3,124,42,512.0,0.0
2023-07-08 17:00:00,29.3,7.0,102,65,356.0,0.0
2023-07-08 18:00:00,27.7,4.4,55,37,199.0,0.0
2023-07-08 19:00:00,25.1,3.9,34,100,71.0,0.0
2023-07-08 20:00:00,24.2,5.7,35,74,5.0,0.0
2023-07-08 21:00:00,21.9,5.6,50,0,0.0,0.0
2023-07-08 22:00:00,21.7,5.1,51,100,0.0,0.0
2023-07-08 23:00:00,20.2,4.0,90,100,0.0,0.0
2023-07-09 00:00:00,19.5,2.6,106,100,0.0,0.0
2023-07-09 01:00:00,18.7,3.1,69,44,0.0,0.0
2023-07-09 02:00:00,17.5,2.3,141,100,0.0,0.0
2023-07-09 03:00:00,16.1,1.8,180,55,0.0,0.0
2023-07-09 04:00:00,16.0,1.5,166,0,11.0,0.0
2023-07-09 05:00:00,17.5,1.6,207,48,91.0,0.0
2023-07-09 06:00:00,19.4,3.6,143,38,224.0,0.0
2023-07-09 07:00:00,22.4,4.3,138,32,376.0,0.0
2023-07-09 08:00:00,25.0,4.6,162,24,527.0,0.0
2023-07-09 09:00:00,27.4,3.3,174,0,668.0,0.0
2023-07-09 10:00:00,29.9,6.2,173,0,775.0,0.0
2023-07-09 11:00:00,32.0,7.6,172,0,844.0,0.0
2023-07-09 12:00:00,32.4,5.1,231,35,781.0,0.0
2023-07-09 13:00:00,32.9,4.0,275,30,742.0,0.0
2023-07-09 14:00:00,32.7,1.4,180,0,739.0,0.0
2023-07-09 15:00:00,32.5,6.0,155,100,531.0,0.0
2023-07-09 16:00:00,32.3,8.3,185,100,385.0,0.0
2023-07-09 17:00:00,31.5,8.9,201,100,280.0,0.0
2023-07-09 18:00:00,27.6,5.2,295,100,133.0,0.0
2023-07-09 19:00:00,25.9,6.7,344,100,42.0,0.0
2023-07-09 20:00:00,23.9,15.5,324,100,3.0,0.0
2023-07-09 21:00:00,24.3,9.0,358,100,0.0,0.0
2023-07-09 22:00:00,22.6,5.8,4,100,0.0,0.0
2023-07-09 23:00:00,21.0,3.3,6,52,0.0,0.0
2023-07-10 00:00:00,20.7,4.6,288,93,0.0,0.0
2023-07-10 01:00:00,19.8,7.3,340,100,0.0,0.0
2023-07-10 02:00:00,20.0,7.6,3,88,0.0,0.3
2023-07-10 03:00:00,19.6,3.3,311,100,0.0,1.0
2023-07-10 04:00:00,18.6,5.4,323,100,9.0,0.0
2023-07-10 05:00:00,19.7,5.0,291,0,89.0,0.0
2023-07-10 06:00:00,20.7,11.0,308,21,226.0,0.0
2023-07-10 07:00:00,21.9,15.6,296,93,363.0,0.0
2023-07-10 08:00:00,22.6,16.4,296,88,401.0,0.0
2023-07-10 09:00:00,21.9,14.6,310,79,434.0,0.0
2023-07-10 10:00:00,23.5,14.4,302,79,552.0,0.0
2023-07-10 11:00:00,23.7,15.5,306,85,506.0,0.0
2023-07-10 12:00:00,24.5,13.2,313,100,530.0,0.0
2023-07-10 13:00:00,24.8,11.2,303,99,608.0,0.0
2023-07-10 14:00:00,25.7,12.4,306,41,619.0,0.0
2023-07-10 15:00:00,25.2,11.0,319,93,568.0,0.0
2023-07-10 16:00:00,25.3,12.6,323,39,460.0,0.0
2023-07-10 17:00:00,24.3,10.1,343,0,332.0,0.0
2023-07-10 18:00:00,23.4,9.8,343,5,214.0,0.0
2023-07-10 19:00:00,21.0,6.0,343,9,79.0,0.0
2023-07-10 20:00:00,18.5,6.4,333,0,5.0,0.0
2023-07-10 21:00:00,18.0,6.7,344,100,0.0,0.0
2023-07-10 22:00:00,17.7,4.3,360,92,0.0,0.0
2023-07-10 23:00:00,17.6,3.6,37,6,0.0,0.0
2023-07-11 00:00:00,16.4,3.1,54,78,0.0,0.0
2023-07-11 01:00:00,16.0,3.6,53,100,0.0,0.0
