time,P,G(i),H_sun,T2m,WS10m,Int
20220112:0510,0.0,0.0,0.0,-2.57,1.1,0.0
20220112:0610,0.0,0.0,0.0,-2.04,1.17,0.0
20220112:0710,0.0,0.0,0.0,-0.64,1.31,0.0
20220112:0810,22.82,49.78,5.45,-0.21,1.24,0.0
20220112:0910,75.04,105.0,11.34,0.33,1.45,0.0
20220112:1010,95.55,125.0,15.39,0.69,1.66,0.0
20220112:1110,53.42,76.0,17.25,1.16,1.86,0.0
20220112:1210,55.04,78.0,16.73,1.64,2.0,0.0
20220112:1310,68.43,94.0,13.89,1.67,1.86,0.0
20220112:1410,54.71,84.0,9.0,1.58,1.66,0.0
20220112:1510,0.0,3.0,2.44,1.54,1.59,0.0
20220112:1610,0.0,0.0,0.0,1.37,1.52,0.0
20220112:1710,0.0,0.0,0.0,1.26,1.38,0.0
20220112:1810,0.0,0.0,0.0,1.15,1.31,0.0
20220112:1910,0.0,0.0,0.0,0.9,1.31,0.0
20220112:2010,0.0,0.0,0.0,0.85,1.24,0.0
20220112:2110,0.0,0.0,0.0,0.77,1.24,0.0
20220112:2210,0.0,0.0,0.0,0.49,1.38,0.0
20220112:2310,0.0,0.0,0.0,0.35,1.31,0.0
20220113:0010,0.0,0.0,0.0,0.13,1.45,0.0
20220113:0110,0.0,0.0,0.0,-0.14,1.59,0.0
20220113:0210,0.0,0.0,0.0,-0.2,1.66,0.0
20220113:0310,0.0,0.0,0.0,-0.27,1.72,0.0
20220113:0410,0.0,0.0,0.0,-0.64,1.72,0.0
20220113:0510,0.0,0.0,0.0,-0.71,1.72,0.0
20220113:0610,0.0,0.0,0.0,-0.94,1.86,0.0
20220113:0710,0.0,0.0,0.0,-0.93,2.0,0.0
20220113:0810,18.64,36.03,5.55,-0.85,2.07,0.0
20220113:0910,71.69,100.0,11.46,-0.43,2.62,0.0
20220113:1010,77.92,104.0,15.53,0.56,2.69,0.0
20220113:1110,77.78,104.0,17.41,1.78,2.69,0.0
20220113:1210,53.94,77.0,16.91,2.65,2.62,0.0
20220113:1310,40.13,61.0,14.08,3.26,2.62,0.0
20220113:1410,23.72,41.0,9.19,3.34,2.48,0.0
20220113:1510,0.0,4.0,2.62,2.58,2.48,0.0
