actual_price,predicted_price,actual_P,predicted_P
-1.45,12.624356,17686.752500000002,17139.871
22.74,19.748037,14757.3625,13095.788
66.19,44.36173,10124.8825,10442.295
87.4,93.38853,5410.455,5743.3545
107.05,110.537605,1725.185,2053.412
108.27,114.62539,121.7075,104.79827
94.95,108.61605,43.875,-22.531755
80.45,90.20528,16.5925,-22.531755
84.38,76.19027,14.1775,6.028909
71.4,78.79369,14.66,-22.531755
60.56,67.99088,12.78,37.953094
48.77,58.6658,8.3225,16.782047
41.96,46.919666,17.3625,33.157337
34.48,47.225864,371.865,320.44363
20.16,38.006466,2242.855,2667.8945
1.81,21.917015,5718.4425,5240.463
-0.5,0.42055923,10423.685,10409.018
-2.77,-12.4030695,15045.7625,17197.752
-7.29,-19.082386,19131.9175,20360.457
-16.29,-27.598078,23479.34,23519.34
-44.27,-30.03977,27100.79,24941.424
-59.04,-64.00297,28175.795,26434.96
-65.77,-64.2527,27197.155,26576.045
-61.77,-48.66132,25802.63,23652.557
-45.9,-30.27603,21953.567499999997,21086.709
-18.25,-24.624754,17273.03,15635.088
-1.41,6.771827,11405.2975,10493.34
23.83,27.096973,6008.79,6396.736
44.17,45.753075,1932.215,2121.9397
58.04,52.67993,135.175,121.93755
62.9,59.654926,17.985,-28.042778
51.26,60.359146,11.0775,-5.2857084
20.95,45.40953,6.4475,0.51789737
19.12,23.36726,6.46,7.0154943
9.95,21.532957,6.6625,40.288544
13.59,14.774258,7.1575,40.288544
20.61,22.119904,16.4775,40.288544
29.45,36.090984,567.9449999999999,331.8111
37.61,54.192177,3916.135,2755.7185
37.13,54.699642,10834.865,8949.115
13.95,40.612076,20473.8025,16330.569
1.54,14.976653,28502.74,26380.86
-5.09,-3.8378599,34918.43,33371.207
-9.23,-8.636068,37789.1375,37070.63
-20.3,-13.747476,37811.33,38462.867
-32.1,-17.890675,37703.2125,37251.688
-30.19,-43.16246,36823.905,35975.75
-17.11,-34.86853,34273.55,32226.352
-8.16,-0.2027095,29670.865,28410.57
4.1,11.080253,23675.6575,22744.855
52.02,35.60339,15312.6775,16200.459
101.29,76.763336,7291.1725,8380.242
119.25,120.789734,2314.4449999999997,2494.0068
128.61,118.88456,183.4775,166.80801
115.84,118.36187,28.4175,-23.097708
95.87,101.11194,9.2225,15.348037
90.32,89.09706,13.16,5.462959
81.51,83.75955,8.7275,5.462959
74.73,79.126236,7.8975,38.008976
69.93,73.70073,6.8125,28.123905
66.94,71.042946,13.06,65.63099
76.09,79.245605,573.4525,330.09796
100.43,92.81954,3763.46,3237.1262
104.13,106.810936,9184.07,9252.348
85.27,92.19926,15843.955,15456.578
69.5,68.282814,22203.3275,22666.715
20.61,54.78093,26382.335,28178.24
7.25,13.850294,29180.13,30246.662
2.82,2.863261,29568.96,31090.314
-0.68,-0.7209795,29027.075,29540.37
1.5,-2.5352314,26475.96,27753.61
1.41,8.064035,23145.9475,24226.654
11.5,15.024875,20018.34,18995.18
57.91,37.223488,15481.79,15434.724
79.14,75.33093,10336.3425,11330.643
98.29,98.60112,5277.945,6224.9375
112.61,117.26973,1696.4275,2065.8826
113.45,113.862305,136.5775,125.673195
110.32,106.53583,27.8325,-0.04805194
98.16,98.32709,13.8325,-15.67626
69.59,88.59055,8.737499999999999,-0.04805194
69.87,62.323425,7.1125,-0.04805194
67.78,67.96839,7.315,45.375763
68.98,67.55074,6.96,45.375763
72.78,69.1475,53.6675,46.315628
81.79,81.38262,640.45,359.6666
101.07,92.100204,3788.0925,3539.2847
107.0,108.020355,10355.1075,9534.283
88.49,99.07146,19179.135,17720.066
68.25,73.13807,27925.75,26220.85
25.83,52.9791,35576.9875,33929.113
5.5,13.018731,41402.8,38462.89
-0.16,1.6065845,44646.7275,41302.805
-1.74,-3.9287448,45904.775,40870.234
-3.54,-3.4803512,44927.7275,39188.492
-1.87,5.582623,42395.415,37931.934
3.66,13.054257,37663.625,35198.812
64.86,32.07433,30532.46,29862.555
93.27,86.86283,19084.2,19571.834
128.68,117.85034,8465.1525,10162.255
200.52,144.81595,2615.4925000000003,2365.2146
171.8,178.07669,292.455,300.4749
119.81,150.48752,57.1525,41.874107
100.48,106.75079,53.6625,0.89181024
96.22,91.92814,56.53,5.462959
90.1,87.415276,56.3575,0.89181024
87.52,88.776596,54.85,34.730797
86.22,85.73801,54.1775,34.730797
89.28,90.04653,72.425,35.05567
96.0,98.53214,781.985,418.92365
114.48,110.359856,4620.19,3581.3909
106.21,120.69267,13360.5925,10412.481
83.98,102.612564,25180.6225,21963.4
43.74,67.62144,36404.425,33089.52
4.35,29.245459,44421.31,41625.043
-1.5,-1.9665054,48337.7725,43360.12
-11.06,-11.3100195,49245.1525,42660.273
-22.63,-21.516539,48287.8975,42027.246
-21.56,-21.410028,46272.785,40478.8
-8.96,-10.4962435,43080.69,38574.906
2.22,2.785047,38011.9625,35554.344
22.56,27.763437,30487.7375,30012.365
76.94,51.535275,18741.6775,22017.027
108.4,97.65758,8182.715,10088.897
128.0,134.86906,2569.42,2830.6763
112.49,128.65338,288.1475,314.76077
104.01,107.37553,59.315,16.288433
88.62,95.64996,57.19,-20.122747
73.53,84.76786,56.61,-41.474197
60.2,67.343056,55.84,-32.703007
61.09,64.09647,58.9075,50.089916
62.84,63.85777,54.209999999999994,46.64051
64.88,69.44704,72.2375,46.315628
71.61,74.143036,802.76,444.53592
85.18,83.19396,4511.6525,4112.0996
87.48,86.901115,12908.6175,11777.764
72.69,76.80073,24267.17,21239.771
39.91,54.75522,35206.3125,32187.7
5.38,26.396759,43553.91,41615.117
-1.31,-1.266016,48416.9625,42748.05
-3.69,-8.540511,50274.4875,42773.355
-7.5,-8.828307,49862.4625,42354.92
-6.8,-13.10069,47679.695,40509.46
-3.44,5.3020844,44672.545,38588.516
2.29,17.405708,39150.630000000005,35719.44
37.41,32.088585,30153.625,31323.969
80.62,64.8988,18470.24,21872.08
105.23,105.726875,8220.342499999999,9437.68
111.65,124.24043,2624.785,2536.6174
98.39,111.463745,280.9775,269.48962
89.77,93.23793,58.23,-12.034942
74.85,85.293915,55.03,-25.325968
69.41,71.24059,60.845,-28.06836
64.52,66.556076,55.8325,-20.122747
61.24,62.806267,54.6,27.002453
60.15,60.290462,54.61,53.75525
59.98,60.237953,68.3075,39.867905
57.38,63.910538,870.255,580.475
47.29,57.32024,4695.92,4099.2993
23.91,42.876873,12870.27,11764.896
8.65,11.886442,23891.5525,19889.191
-0.41,-4.2231092,34466.37,31576.04
-2.06,-11.6954155,40832.725,40731.004
-7.53,-15.372437,44123.1675,43492.07
-26.31,-21.79574,45394.795,42913.22
-27.22,-27.107264,45158.4975,42039.957
-19.1,-21.440496,42936.205,40279.14
-6.16,-11.11808,39442.4575,38375.246
0.05,16.131523,33928.1525,33282.96
18.04,30.122795,26392.795,26674.07
80.61,52.58599,16120.24,17641.797
110.88,108.02881,7221.315,7690.7993
125.66,132.22568,2381.8575,2082.3271
115.29,118.67345,265.40250000000003,110.01418
114.25,106.02095,61.6575,-81.92208
102.71,102.71089,53.9275,-47.88018
89.17,94.1892,63.7875,-52.419037
84.86,82.749016,55.475,-46.615433
84.12,79.716354,53.1375,29.977596
85.88,80.19566,56.23,15.54697
86.98,82.44271,66.4375,3.5669518
85.02,84.32706,849.2850000000001,551.41534
79.47,76.53899,4058.5025,3514.455
65.38,65.952095,9949.6075,10053.561
49.33,45.91475,16308.85,16344.002
14.62,28.291313,22809.9525,23177.926
3.98,2.6161292,27615.185,28114.787
0.95,-4.3637342,29884.985,31516.406
-0.11,-7.9061384,29502.625,32788.016
-2.8,-8.246952,27773.36,30264.543
-2.57,-7.798563,27923.7575,27247.291
0.35,3.1152182,24517.415,25513.645
5.85,19.358278,20249.7525,20537.05
53.34,28.357685,15043.3025,15597.383
94.34,72.15314,8996.9825,10496.085
109.75,106.32833,4407.895,5360.9673
122.4,120.297134,1524.1275,2250.592
130.81,116.67027,236.5675,-17.638569
119.81,116.6693,72.35249999999999,21.30085
102.05,108.25605,57.925,-4.0209675
96.4,95.17777,55.5275,-27.10292
86.46,89.79028,53.1575,-14.17044
82.68,88.264984,53.2975,17.155952
81.78,85.19554,53.535,36.44728
81.64,85.260025,62.8325,50.089916
87.35,90.01014,480.9450000000001,497.17316
118.39,98.512634,2898.705,3749.2888
127.22,116.13687,8066.82,9225.861
106.46,112.14062,16089.0725,15141.959
84.54,90.52011,25005.94,23032.186
61.01,71.00264,32032.8575,30820.525
35.86,50.882843,35596.7725,35585.883
7.78,28.145935,35800.6175,36934.54
5.38,6.7085814,35050.135,35551.863
5.6,11.277194,34138.1875,33352.227
5.05,20.025633,32205.94,30794.29
20.24,26.487885,28934.0775,26561.64
69.9,46.101273,23419.645,22311.21
94.65,87.936066,15752.945,15566.642
120.65,115.37342,7988.9275,7994.234
176.55,136.83409,2736.3025,2308.1062
170.78,161.46999,300.7375,321.61676
128.79,156.65326,84.04,29.008665
105.28,117.50659,59.754999999999995,5.462959
107.14,99.80989,56.0725,5.462959
101.63,101.21423,52.74,5.462959
97.24,100.66351,53.989999999999995,57.283585
97.17,96.88771,53.03,39.301964
98.26,98.68206,62.6375,67.49384
106.66,105.99038,791.735,423.90524
124.48,121.50503,4516.8925,3383.469
115.25,132.37947,12567.9825,10440.308
99.51,106.00663,23440.3625,19739.996
75.1,86.66154,34215.5175,30592.408
22.47,62.495445,41716.725,39647.746
2.24,14.888505,43651.6975,43222.02
-0.15,1.1081682,47028.005,43426.766
-2.39,-1.0587468,47640.845,42662.78
-3.55,-0.38943365,45712.7375,40542.316
-0.99,7.200413,42047.27,39280.965
18.28,18.005753,37753.8675,36094.875
77.22,49.776096,29187.0525,30084.354
103.76,98.051384,18077.48,20910.838
131.51,125.1753,8267.025,9633.281
234.23,148.06204,2771.955,2553.353
234.65,208.00095,351.61,390.36023
145.34,201.89531,88.91499999999999,-10.825339
124.32,127.3803,56.245,-14.611729
112.0,113.1636,54.6225,-43.17241
107.4,102.13537,55.535,-43.17241
102.25,106.52868,53.8025,4.2904935
97.94,102.48256,54.185,42.735435
98.52,99.58908,66.1575,73.213
105.5,109.044945,824.1525,434.342
113.67,116.9969,4550.2575,4067.0786
114.62,117.14092,12184.2275,11048.871
106.45,101.91061,22780.06,19233.982
79.14,88.55799,33149.7375,29699.113
24.04,63.137974,40688.4975,39705.086
2.93,13.263236,44786.8675,42110.836
-0.85,-0.37960282,46174.255,43003.12
-2.56,-6.3362575,45599.61,42422.145
-3.7,-3.795038,43040.415,40703.63
-2.28,7.0992904,39667.71,38808.555
2.34,18.984028,35170.674999999996,33362.074
69.21,37.052197,26695.31,27434.09
97.68,97.10134,17200.3875,19668.25
114.54,129.10876,8211.539999999999,8987.633
147.11,150.51881,2723.365,2681.0535
163.89,156.61382,338.24,385.62766
130.89,152.33427,79.06,9.607585
112.28,120.412796,56.97,-16.264853
113.49,105.68655,56.465,-18.858
107.24,105.490654,54.025,-19.18288
105.2,107.57413,53.425,32.268215
99.75,105.91245,53.985,39.802315
99.21,104.23045,65.485,37.761795
96.56,110.698074,748.5425,651.07086
95.12,111.63075,4371.469999999999,4604.6685
89.98,100.12915,12384.475,11563.709
66.53,83.06139,23359.595,20882.979
3.31,53.50727,33662.73,31023.068
-3.99,-4.5648894,39479.3825,39003.816
-22.3,-13.886126,42501.7,41873.11
-49.3,-24.787882,44293.605,42423.34
-59.73,-54.659294,44410.0875,42167.176
-56.48,-48.90036,42980.99,40625.81
-30.97,-37.038944,40399.8975,38501.93
-4.26,-25.376379,35363.6525,33162.51
6.25,21.949196,29591.12,27967.547
76.23,38.36046,19164.055,22018.217
110.97,99.598816,8803.285,10532.839
140.12,131.84566,2742.3075,3053.911
145.68,135.72844,359.09,409.96222
125.26,131.40717,62.405,31.313202
109.44,114.31463,56.4275,-0.04805194
103.6,102.18344,54.254999999999995,-0.04805194
