actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
37.68,0.23,21,1,5,0,94,31.989922,28.996727,23.810976,23.1834,21.334879,22.550423,33.724194,38.88043,49.27552,47.111855,43.59644,36.736332,33.745262,33.714943,28.811504,29.940222,35.054024,36.46586,48.0742,50.755196,48.716984,43.35999,40.924957,31.341145,-0.23767342,-0.62075615,4.6211767,3.6200485,15.004103,27.262093,66.226906,140.01434,243.49834,360.44962,485.9984,599.3099,637.5378,619.7313,560.6965,474.8245,360.5389,239.1717,129.59523,59.379177,13.393992,6.57396,2.7550328,0.5857357
29.82,0.17,22,1,5,0,69,29.865162,26.234743,22.600407,21.5855,25.05111,35.11808,53.605286,57.43294,49.352737,43.792553,37.87897,33.434956,28.459063,28.342411,28.477615,32.194874,40.986782,49.77504,50.368202,45.603027,42.919083,38.512318,32.759426,32.438652,-0.54088265,0.3660591,5.3227415,6.019051,18.216362,44.04993,96.04207,232.48032,380.26898,516.5391,637.44336,715.8528,689.4281,626.8388,533.21,397.79562,267.70377,166.2965,86.42604,32.172756,11.406081,5.1105037,1.3950914,-0.052160475
26.07,0.18,23,1,5,0,73,23.623566,22.123293,23.25982,26.84918,38.75452,57.040546,61.118137,50.86445,46.200863,40.65631,35.34299,31.418653,27.321539,24.420454,26.84766,36.937733,45.533962,50.5432,52.00561,46.055008,40.020763,32.631443,30.585646,29.787828,-0.54088265,-0.103568695,4.625429,4.1142974,31.90764,97.18526,176.83601,361.25107,510.3563,616.45514,674.4276,714.4386,655.9531,558.24805,429.87714,290.33844,197.05704,97.61438,57.89246,30.395523,11.683658,5.5002437,1.4900411,-0.052160475
25.52,0.17,0,2,5,0,88,24.784107,26.394701,33.58208,41.706287,54.134186,55.1613,46.78595,40.807724,37.67474,30.011343,30.414576,27.59741,31.07227,36.70441,51.331154,60.836395,59.558186,56.310658,45.86197,35.39054,27.330196,24.5183,25.214561,28.744879,3.5944698,9.385786,31.666357,90.835594,177.55782,334.3205,458.2587,558.95844,612.59186,664.2258,669.49286,615.7168,536.4309,379.9605,199.0168,96.16798,48.347584,27.841513,18.593658,5.91525,0.14672256,1.8810539,0.5843218,2.9673538
23.94,0.48,1,2,5,0,94,23.622921,28.103125,41.934048,56.290405,58.472034,49.646454,43.416435,37.118183,33.778973,25.452526,23.6231,26.551003,27.192326,39.971527,52.647568,55.419994,54.00802,49.548965,36.792328,28.275732,22.742819,22.60289,20.951542,24.447283,3.5944698,9.912911,43.07749,117.91177,233.178,404.14725,537.7089,620.36945,660.0937,696.4209,653.54706,549.3099,421.28152,265.13815,119.5548,66.0811,39.49088,25.376902,21.803152,5.762462,-0.13085306,1.8988867,0.89723635,2.5855386
25.77,2.98,2,2,5,0,100,29.514004,44.902454,59.545616,61.3131,55.254528,43.68426,40.389156,31.305508,31.8787,27.150301,27.876547,33.341724,46.409588,54.205982,61.49214,59.773262,47.8374,39.3256,27.295055,21.549686,17.573292,18.257618,20.946299,24.218056,16.357893,59.438595,127.54467,222.2098,303.73367,403.3388,469.5052,504.0036,517.31854,490.0095,435.97806,338.32922,205.39499,124.72508,30.497225,9.371719,20.730442,24.031425,10.733794,6.8468075,3.693884,4.027248,2.005708,4.0187654
28.29,19.02,3,2,5,0,100,40.497772,53.164173,60.87561,59.410583,48.58729,39.48838,32.838127,26.17968,28.335625,28.811178,34.49854,41.773975,52.65985,59.60527,62.731358,48.961964,38.787415,30.17682,26.432642,24.33891,21.37027,23.382526,24.924807,30.28006,50.26378,111.22662,210.4405,264.05844,350.13635,464.10352,497.48758,495.41498,469.77228,451.25418,316.1622,228.52663,139.7309,77.14358,35.88683,2.172921,14.69878,28.367056,21.277304,10.716096,7.9423475,6.179965,7.807075,28.63777
34.82,69.82,4,2,5,0,100,42.364136,53.303585,48.74514,39.69583,28.959614,22.959755,23.909584,24.026552,26.440607,31.063683,38.791653,44.31831,54.591137,48.52282,38.46902,32.478477,28.173117,23.77075,26.449928,24.284256,23.957138,26.133036,27.020344,33.825493,119.84834,227.81801,335.49982,437.9187,499.45724,562.7541,519.2748,438.84198,428.65704,327.4714,191.13931,67.68579,43.090176,32.467056,16.539839,5.7492886,14.473807,25.884804,21.528204,10.95776,20.628946,21.543352,36.7446,99.512054
49.7,166.75,5,2,5,0,99,58.77184,54.930527,44.834396,37.870247,30.81425,24.923508,22.728394,26.29169,38.529026,40.32754,49.232426,54.195625,47.74141,41.147778,40.005234,32.13732,26.47362,22.331919,20.081467,19.324419,23.538223,27.432287,33.586674,48.863922,280.74384,414.26758,562.6038,645.1733,645.531,644.85614,530.1157,445.26913,360.43832,213.56593,91.44934,26.345663,8.282451,16.551039,16.539837,11.413479,20.092558,34.415,34.24259,34.165718,22.233625,63.895176,101.226974,194.69461
44.44,284.8,6,2,5,0,100,41.563618,34.13291,29.58139,26.236801,22.325743,18.904522,27.58911,31.784117,38.997555,46.672436,48.878895,44.951824,36.885105,29.785328,25.558136,25.136848,23.581154,25.521385,29.403288,31.01551,36.17519,38.641254,40.37107,38.396404,405.34503,496.3304,574.584,571.94183,580.442,527.3201,422.52576,353.3047,192.80972,84.09167,15.317314,3.1622128,-2.615509,9.938525,19.9943,13.018355,21.26026,31.57985,34.359615,47.468388,44.119686,117.687996,213.66313,304.94348
42.74,441.01,7,2,5,0,93,37.24122,30.373713,25.632675,22.208944,21.077835,18.16562,20.989876,29.08972,41.853256,43.002316,40.909866,35.137615,28.387184,26.509016,20.902786,21.24655,19.031324,19.24165,22.300867,23.66129,31.503334,37.94352,38.607944,33.255127,568.97656,634.84845,683.5521,670.34314,627.55786,567.4331,439.00415,276.22086,131.18742,56.985313,40.300022,29.625813,11.014313,10.032,16.89861,19.87461,27.847317,39.912907,61.839676,74.558105,108.7024,205.22775,319.79413,449.99332
