actual_price,actual_P,hour,day_of_week,month,is_weekend,cloud_cover,predicted_price_h1,predicted_price_h2,predicted_price_h3,predicted_price_h4,predicted_price_h5,predicted_price_h6,predicted_price_h7,predicted_price_h8,predicted_price_h9,predicted_price_h10,predicted_price_h11,predicted_price_h12,predicted_price_h13,predicted_price_h14,predicted_price_h15,predicted_price_h16,predicted_price_h17,predicted_price_h18,predicted_price_h19,predicted_price_h20,predicted_price_h21,predicted_price_h22,predicted_price_h23,predicted_price_h24,predicted_P_h1,predicted_P_h2,predicted_P_h3,predicted_P_h4,predicted_P_h5,predicted_P_h6,predicted_P_h7,predicted_P_h8,predicted_P_h9,predicted_P_h10,predicted_P_h11,predicted_P_h12,predicted_P_h13,predicted_P_h14,predicted_P_h15,predicted_P_h16,predicted_P_h17,predicted_P_h18,predicted_P_h19,predicted_P_h20,predicted_P_h21,predicted_P_h22,predicted_P_h23,predicted_P_h24
102.72,46.85275,5,2,5,0,100,97.707184,83.08166,67.194916,45.99084,33.637398,25.612188,28.585302,30.316353,41.76764,68.58358,87.07473,110.557655,124.18361,118.41519,100.580345,88.729576,87.07965,77.70115,71.45173,64.78186,62.74195,70.73572,83.66304,98.71021,85.92894,134.3905,172.29462,197.90622,214.14314,214.95154,207.84837,185.86105,172.62956,135.68483,90.01891,46.467815,21.48617,10.300728,-1.1445267,4.435816,2.573079,4.984341,1.9700145,3.4535265,4.542215,8.13981,20.224422,61.093925
128.0,92.1865,6,2,5,0,100,108.31704,86.401024,69.401306,59.109947,49.3397,43.25882,42.794292,51.634563,73.12551,97.12727,116.090996,137.6266,128.25404,112.051155,96.145645,88.1184,77.91735,74.78149,72.25337,68.042534,80.37041,92.53288,100.797325,111.86734,124.28391,147.20267,169.01859,190.43605,196.84383,193.23526,168.21033,156.94836,117.41108,81.25222,32.77002,19.892408,10.145066,6.175618,3.8856702,8.180102,4.2458863,5.1067524,3.429426,3.2437863,9.943792,27.22522,55.472218,95.84933
100.0,130.732,7,2,5,0,100,86.96203,70.77986,56.75052,48.29346,40.95521,48.609203,60.698357,81.305916,101.84489,122.7121,135.19646,112.81011,109.25225,93.08964,87.02998,77.7172,73.33987,79.67907,74.20172,84.3112,98.506775,114.986755,113.34735,88.92671,183.70303,210.27873,197.64218,202.2573,201.35739,181.74948,165.39485,120.12534,66.30697,40.62722,17.851501,16.052546,7.6002865,4.3408694,1.2724538,2.1452353,2.950809,9.638258,4.858269,7.138083,21.965603,45.401676,92.45296,148.12592
69.78,210.16675,8,2,5,0,100,51.9123,36.245987,24.716572,25.20112,27.729412,39.72953,66.65031,99.98019,117.51335,116.32756,102.541664,91.567375,85.87467,72.9632,66.60611,63.632835,66.79083,70.16129,69.045525,84.30417,96.14444,94.58814,84.381744,55.215485,183.69951,185.48413,166.09467,174.41833,168.90355,146.18346,114.17869,70.00068,36.885223,20.088526,7.784867,13.227981,8.743576,6.376039,5.004729,5.5509663,8.669763,12.10776,7.4346395,18.103073,38.04868,77.34998,128.75298,168.48482
61.23,211.383,9,2,5,0,100,41.280533,29.927887,25.037132,37.74915,46.46784,69.03746,91.1588,106.07399,105.221825,99.76403,82.03828,80.09537,74.042885,68.99481,62.845306,61.19834,61.0158,58.272408,61.780304,77.19673,69.23066,57.406307,49.71891,29.236607,207.16325,203.86925,190.54253,174.81198,152.24042,113.82921,58.282322,33.625626,16.003555,13.03104,7.8483853,5.46327,6.9644704,7.3078227,5.440199,7.7231493,11.746849,16.318016,18.386381,45.353752,84.30954,133.49948,176.59377,185.38643
56.19,208.958,10,2,5,0,100,43.404568,35.39628,38.871273,62.708393,72.958786,105.528755,106.457344,108.41261,99.711876,94.074066,80.17792,77.66221,70.50663,66.100624,60.989243,58.99872,60.835716,71.772446,87.77124,85.78429,69.627884,57.196743,49.001408,26.222782,207.14563,202.42883,171.77449,152.40277,114.09073,61.6613,39.398495,14.063832,11.585638,11.286964,7.565743,5.020954,7.145961,7.338215,4.7994313,6.90991,11.215866,17.789879,38.04228,76.646996,125.57979,169.86766,207.11346,204.21783
49.74,267.523,11,2,5,0,100,42.452133,38.855164,55.345673,76.19646,108.84095,119.60345,114.67129,111.22868,104.65635,94.78697,88.71793,81.17412,74.24322,71.36208,67.01973,69.55685,82.24117,97.231155,93.00722,87.931076,70.98181,57.6612,38.855526,26.7493,179.40176,169.78897,136.81981,118.18803,72.71724,33.84723,14.888886,7.406066,12.003168,8.226675,5.1731243,3.4196503,5.228555,6.340935,5.7716274,8.0203905,16.615145,41.259865,83.96108,141.5985,203.4835,234.52835,228.7442,229.15053
45.71,230.2685,12,2,5,0,100,52.449554,63.16799,79.3074,102.94219,122.95799,122.723755,113.35869,106.4199,98.158226,90.33919,85.723785,80.84147,77.32067,73.5178,73.53816,89.581635,102.64809,97.620705,91.49273,80.09837,58.16059,24.436253,16.123648,-2.4654276,191.94044,160.7495,116.81938,82.22534,39.36368,14.840004,5.6736636,5.5951977,10.602861,10.624427,5.503231,3.4406374,4.8482075,6.0163164,5.7716274,15.384197,40.791706,84.23628,139.4323,188.37837,233.32787,250.04639,243.56638,228.12384
36.73,253.7195,13,2,5,0,93,53.074364,70.43073,97.461136,115.06968,132.06819,124.56301,117.868774,105.90511,97.36579,88.24476,86.649414,82.03103,83.62066,80.570145,96.89447,110.459435,109.221794,102.18042,80.3517,59.559418,45.95836,34.137035,32.857002,33.69803,185.15608,141.26364,103.97394,60.401268,24.436972,10.86849,7.118515,8.912607,5.6557007,1.0186487,0.9159111,-0.41754037,3.3958254,6.468811,17.851206,43.657196,96.59478,144.84702,196.76237,239.9388,241.02263,252.64085,241.29698,217.11528
57.9,263.121,14,2,5,0,0,82.01185,100.452484,113.691475,119.80882,114.240616,102.24638,83.05134,78.53187,78.52835,76.66452,74.64703,75.508194,75.45114,84.25554,86.16604,94.83494,87.991875,76.637856,58.432323,47.1739,33.95429,29.624073,39.27912,48.091164,149.35977,96.09744,50.325294,32.647087,29.129683,21.047121,23.094793,21.617382,30.505571,20.735212,11.494209,9.527834,10.185332,11.003279,38.04252,70.91081,138.6434,194.07265,236.44681,256.09363,246.02971,237.4333,219.7788,194.28235
74.14,202.35425,15,2,5,0,35,96.77149,115.23447,127.511444,120.3465,115.69292,108.792404,94.721405,86.89116,82.081,75.22208,75.10206,81.919464,92.72965,100.50167,106.574326,93.59335,72.08085,53.456852,40.34126,32.607143,31.235935,35.59502,52.30136,65.62976,156.28554,91.58413,45.506653,19.338236,11.641507,8.965273,2.6698039,9.2299185,2.931773,2.2445204,4.5855346,11.644827,16.066881,48.578785,86.80074,151.2754,207.01654,225.59894,226.2887,233.64865,229.9974,215.41768,204.39665,161.28152
94.99,153.893,16,2,5,0,0,118.27486,126.98701,123.33456,114.667305,109.40988,110.563194,88.085594,83.34216,79.20123,73.78832,81.89459,94.08029,105.45217,111.12901,107.14608,82.64939,58.189686,39.75728,35.990646,29.699846,39.269012,53.251236,70.79414,90.681984,90.991005,37.917,9.490107,10.762831,12.893697,17.170078,17.503815,19.367365,20.02528,6.2759275,13.933142,35.32751,62.139137,88.63157,162.19855,221.96014,249.9694,271.17746,277.17105,264.8473,246.28635,221.2238,177.42473,112.074715
117.36,82.4255,17,2,5,0,0,127.34853,130.06068,122.522194,109.77732,106.5105,94.61279,89.65253,91.26057,77.46781,77.53345,96.20283,105.48928,113.216995,94.09843,66.910866,48.35801,41.529682,28.65656,31.659504,38.3304,55.54818,70.14913,93.053925,113.75855,21.595488,6.0766535,2.935106,8.219035,9.394565,15.406226,16.10152,17.511744,17.204666,6.5823345,20.850143,54.061634,100.1872,160.19559,231.62329,254.2984,272.0052,281.11554,268.37518,246.9147,219.59163,176.82645,110.61021,59.60156
127.56,29.332,18,2,5,0,0,127.92842,118.17942,100.46783,91.54913,85.222984,77.8392,79.05414,78.349144,82.81292,91.115776,102.03413,103.86893,88.1195,61.174545,47.757523,32.33608,21.974957,22.47901,32.957447,48.69322,70.18611,93.413246,123.07503,133.41553,2.2762728,2.9399784,4.940544,7.0198994,12.470707,14.349537,14.465235,14.463348,29.262175,28.681686,52.421413,107.401924,162.5091,223.62921,250.83401,267.48492,282.59848,282.2162,268.2213,233.12607,180.88597,134.3355,70.37356,18.015135
166.83,2.791,19,2,5,0,0,145.5856,125.8333,114.08949,105.06441,97.02076,94.64462,88.92663,84.55635,91.493256,105.67347,112.705,101.49623,86.22329,71.95892,59.795826,43.108906,34.128914,40.180817,43.727104,67.59384,94.159584,127.0985,136.98418,147.21733,0.7734872,4.840416,4.6110163,2.7942953,8.148675,9.281133,16.95985,13.647239,31.280127,61.751915,119.300896,180.96011,234.3249,263.8824,277.20416,280.22028,285.0349,272.06534,239.49971,190.59468,132.56036,69.83059,29.90469,3.6439736
138.86,0.0,20,2,5,0,1,119.383354,112.57027,101.52581,95.319916,91.598145,87.99687,93.22301,112.60112,123.59266,124.253845,109.60183,93.272026,73.94374,58.725853,49.756554,44.045494,42.246147,62.793858,101.16907,124.58152,146.9961,155.71637,146.58041,123.81816,0.9363387,0.47704148,0.35291472,-1.7820767,1.7812778,4.6738234,5.0610313,19.450325,57.279224,114.69001,181.33728,233.54811,252.02148,251.38348,262.31686,264.88504,241.08185,224.4114,184.69798,127.95079,76.33285,28.608355,1.9354839,-0.06926951
104.9,0.0,21,2,5,0,0,99.29876,92.76765,91.78056,89.28829,83.900185,93.56634,104.03268,118.66704,119.63328,114.989845,95.57306,66.28255,38.63961,41.923645,41.780956,50.680843,71.40026,98.03734,122.80514,143.11661,143.99579,142.51578,128.91147,106.52209,0.8356364,0.62798166,0.86666393,5.546825,17.224995,28.938372,43.198795,71.3753,119.09621,182.6394,228.75873,272.83316,282.6672,284.65237,276.5466,247.1337,213.10484,155.28706,98.87038,48.036835,15.671624,3.5554452,0.5792241,-0.03774354
112.24,0.0,22,2,5,0,98,103.59864,98.0347,96.39537,94.066086,97.90837,114.56236,122.82549,120.07227,109.61875,95.69036,85.182396,73.7686,62.914238,60.606518,64.93342,72.84852,93.71406,127.03767,139.62527,134.42387,126.09121,118.41477,107.57658,105.247,0.063558504,1.0603546,3.0705106,6.8672915,13.795046,23.675774,49.082615,94.65402,139.41397,188.29053,220.75894,233.14386,231.60301,220.50584,205.87262,169.15666,138.41978,99.210304,49.22117,18.718992,8.278646,3.1899085,1.5675453,-0.03227344
108.8,0.0,23,2,5,0,100,101.6965,98.26367,98.88457,103.052345,120.85892,138.0964,136.11069,127.83222,116.03146,98.04424,86.57922,76.34757,70.24052,65.13983,80.12721,100.97116,128.57857,141.6914,144.52684,134.89243,129.76868,121.6078,111.66622,102.48352,-0.22762272,-0.244063,2.0880313,5.8763094,12.093977,36.798264,83.777596,128.0516,178.84761,214.33586,223.09947,230.41959,222.28809,201.20186,176.81708,140.89954,102.411804,55.610523,29.787863,12.306369,7.967916,4.4045777,2.995056,-0.03227344
